日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,G104,上海虹桥,AOH,北京南,VNP,06:27,13:12,06:45,19580,09930,05970,--,--,--,--,--,--
2024-08-15,G102,上海虹桥,AOH,北京南,VNP,06:37,12:38,06:01,18730,09690,05760,--,--,--,--,--,--
2024-08-15,G2,上海,SHH,北京南,VNP,07:00,11:36,04:36,23310,10670,06670,--,--,--,--,--,--
2024-08-15,G106,上海虹桥,AOH,北京南,VNP,07:22,13:22,06:00,18730,09690,05760,--,--,--,--,--,--
2024-08-15,G108,嘉兴南,EPH,北京南,VNP,07:27,13:36,06:09,18730,09690,05760,--,--,--,--,--,--
2024-08-15,G110,上海虹桥,AOH,北京南,VNP,07:38,13:32,05:54,19980,09690,05760,--,--,--,--,--,--
2024-08-15,G6,上海虹桥,AOH,北京南,VNP,08:00,12:24,04:24,23180,10600,06620,--,--,--,--,--,--
2024-08-15,G112,上海虹桥,AOH,北京南,VNP,08:05,14:07,06:02,19980,10060,05980,--,--,--,--,--,--
2024-08-15,G114,上海虹桥,AOH,北京南,VNP,08:15,14:12,05:57,19980,10060,05980,--,--,--,--,--,--
2024-08-15,G8,上海虹桥,AOH,北京南,VNP,09:00,13:27,04:27,23180,10600,06620,--,--,--,--,--,--
2024-08-15,G116,上海虹桥,AOH,北京南,VNP,09:26,15:22,05:56,19980,10060,05980,--,--,--,--,--,--
2024-08-15,G118,上海虹桥,AOH,北京南,VNP,09:43,15:47,06:04,19980,10060,05980,--,--,--,--,--,--
2024-08-15,G10,上海虹桥,AOH,北京南,VNP,10:00,14:26,04:26,23180,10600,06620,--,--,--,--,--,--
2024-08-15,G122,上海虹桥,AOH,北京南,VNP,10:34,16:29,05:55,19980,10060,05980,--,--,--,--,--,--
2024-08-15,G124,上海虹桥,AOH,北京南,VNP,10:44,16:43,05:59,21580,10350,06260,--,--,--,--,--,--
2024-08-15,G12,上海虹桥,AOH,北京南,VNP,11:00,15:31,04:31,23180,10600,06620,--,--,--,--,--,--
2024-08-15,G128,上海,SHH,北京南,VNP,11:15,17:22,06:07,21720,10420,06310,--,--,--,--,--,--
2024-08-15,G14,上海,SHH,北京南,VNP,11:53,16:38,04:45,23310,10670,06670,--,--,--,--,--,--
2024-08-15,1462,上海,SHH,北京,BJP,12:15,10:46,22:31,--,--,--,--,04555,02835,--,01565,01565
2024-08-15,G130,上海虹桥,AOH,北京南,VNP,12:16,18:21,06:05,21580,10060,05980,--,--,--,--,--,--
2024-08-15,G132,上海虹桥,AOH,北京南,VNP,12:21,18:25,06:04,19980,10060,05980,--,--,--,--,--,--
2024-08-15,G134,上海虹桥,AOH,北京南,VNP,12:26,18:44,06:18,21580,10060,05980,--,--,--,--,--,--
2024-08-15,G136,上海虹桥,AOH,北京南,VNP,12:47,18:49,06:02,21580,10060,05980,--,--,--,--,--,--
2024-08-15,G16,上海,SHH,北京南,VNP,12:55,17:36,04:41,23310,10670,06670,--,--,--,--,--,--
2024-08-15,G138,上海虹桥,AOH,北京南,VNP,13:29,19:31,06:02,21580,09690,05760,--,--,--,--,--,--
2024-08-15,G140,上海虹桥,AOH,北京南,VNP,13:34,19:42,06:08,18730,09300,05530,--,--,--,--,--,--
2024-08-15,G18,上海虹桥,AOH,北京南,VNP,14:00,18:35,04:35,23180,10600,06620,--,--,--,--,--,--
2024-08-15,G142,上海虹桥,AOH,北京南,VNP,14:16,20:10,05:54,21580,10060,05980,--,--,--,--,--,--
2024-08-15,G144,上海虹桥,AOH,北京南,VNP,14:43,20:45,06:02,19980,09690,05760,--,--,--,--,--,--
2024-08-15,G20,上海虹桥,AOH,北京南,VNP,15:00,19:36,04:36,23180,10600,06620,--,--,--,--,--,--
2024-08-15,G146,上海虹桥,AOH,北京南,VNP,15:21,21:05,05:44,18730,09300,05530,--,--,--,--,--,--
2024-08-15,G148,上海虹桥,AOH,北京南,VNP,15:25,21:42,06:17,21230,10360,06260,--,--,--,--,--,--
2024-08-15,G22,上海虹桥,AOH,北京南,VNP,16:00,20:37,04:37,23180,10600,06620,--,--,--,--,--,--
2024-08-15,G150,上海虹桥,AOH,北京南,VNP,16:04,21:56,05:52,17480,08840,05260,--,--,--,--,--,--
2024-08-15,G152,上海虹桥,AOH,北京南,VNP,16:19,22:20,06:01,17480,08840,05260,--,--,--,--,--,--
2024-08-15,T110,上海,SHH,北京,BJP,16:30,08:32,16:02,--,--,--,--,04765,03045,--,01775,01775
2024-08-15,G24,上海虹桥,AOH,北京南,VNP,17:00,21:33,04:33,23180,10600,06620,--,--,--,--,--,--
2024-08-15,G154,上海虹桥,AOH,北京南,VNP,17:11,22:49,05:38,17480,08840,05260,--,--,--,--,--,--
2024-08-15,G156,上海虹桥,AOH,北京南,VNP,17:16,23:08,05:52,17480,08840,05260,--,--,--,--,--,--
2024-08-15,G158,杭州东,HGH,北京南,VNP,17:20,23:14,05:54,17480,08370,04980,--,--,--,--,--,--
2024-08-15,G160,上海虹桥,AOH,北京南,VNP,17:41,23:42,06:01,17480,08840,05260,--,--,--,--,--,--
