日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,D2206,上海虹桥,AOH,成都东,ICW,06:01,21:53,15:52,--,11520,07210,--,--,--,--,--,07210
2024-08-15,D352,上海虹桥,AOH,成都东,ICW,06:12,20:34,14:22,--,11040,06900,--,--,--,--,--,06900
2024-08-15,D636,上海虹桥,AOH,成都东,ICW,06:32,20:40,14:08,--,11040,06900,--,--,--,--,--,06900
2024-08-15,G1974,上海虹桥,AOH,重庆西,CXW,07:17,18:28,11:11,29675,15355,09440,--,--,--,--,--,--
2024-08-15,D3056,上海,SHH,成都东,ICW,07:23,22:04,14:41,--,11040,06900,--,--,--,--,--,06900
2024-08-15,G2189,上海虹桥,AOH,成都东,ICW,07:28,20:45,13:17,31420,16775,10125,--,--,--,--,--,--
2024-08-15,G2189,上海虹桥,AOH,成都东,ICW,07:48,20:45,12:57,30760,16425,09905,--,--,--,--,--,--
2024-08-15,G3288,上海虹桥,AOH,沙坪坝,CYW,07:49,19:57,12:08,29485,15155,09490,--,--,--,--,--,--
2024-08-15,G3292,上海虹桥,AOH,泸州,LUE,08:24,20:33,12:09,28535,14735,09220,--,--,--,--,--,--
2024-08-15,D952,上海,SHH,成都东,ICW,08:30,20:52,12:22,--,11040,06900,--,--,--,--,--,06900
2024-08-15,G1476,上海虹桥,AOH,成都东,ICW,09:51,22:17,12:26,38380,19165,11825,--,--,--,--,--,--
2024-08-15,K351,上海南,SNH,成都西,CMW,10:13,19:56,33:43,--,--,--,--,07475,04715,--,02785,02785
2024-08-15,G3284,上海虹桥,AOH,成都东,ICW,10:37,23:16,12:39,29125,14985,09390,--,--,--,--,--,--
2024-08-15,G2193,上海虹桥,AOH,成都东,ICW,10:48,23:25,12:37,32340,17025,10405,--,--,--,--,--,--
2024-08-15,K1156,上海,SHH,成都西,CMW,10:57,17:53,30:56,--,--,--,--,07170,04560,--,02640,02640
2024-08-15,K282,上海,SHH,成都西,CMW,20:45,08:44,35:59,--,--,--,--,07345,04635,--,02735,02735
