日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,K8351,连云港东,UKH,杭州,HZH,04:42,06:28,01:46,--,--,--,--,01045,00695,--,00235,00235
2024-08-15,G4917,上海虹桥,AOH,南昌西,NXG,05:44,06:29,00:45,02190,01170,00730,--,--,--,--,--,--
2024-08-15,G7541,上海虹桥,AOH,台州西,TZH,05:52,06:51,00:59,02190,00770,00480,--,--,--,--,--,00480
2024-08-15,K47,齐齐哈尔,QHX,杭州,HZH,06:05,09:12,03:07,--,--,--,--,01045,00695,--,00235,00235
2024-08-15,G1321,上海虹桥,AOH,六盘水,UMW,06:10,06:56,00:46,02190,01170,00730,--,--,--,--,--,--
2024-08-15,G7331,上海虹桥,AOH,瑞安,RAH,06:15,07:07,00:52,02190,00940,00580,--,--,--,--,--,00580
2024-08-15,G7333,上海虹桥,AOH,温州南,VRH,06:20,07:22,01:02,02190,00940,00580,--,--,--,--,--,00580
2024-08-15,G7363,上海虹桥,AOH,温岭,VHH,06:33,07:25,00:52,02190,00940,00580,--,--,--,--,--,00580
2024-08-15,D3145,上海虹桥,AOH,南昌西,NXG,06:36,07:37,01:01,--,00940,00590,--,--,--,--,--,00590
2024-08-15,K833,上海南,SNH,贵阳,GIW,06:40,09:38,02:58,--,--,--,--,01135,00745,--,00285,00285
2024-08-15,G1383,上海虹桥,AOH,赣州西,GOG,06:42,07:41,00:59,02190,01050,00650,--,--,--,--,--,--
2024-08-15,G7501,上海虹桥,AOH,苍南,CEH,06:48,07:47,00:59,02190,00940,00580,--,--,--,--,--,00580
2024-08-15,C481,上海南,SNH,庆元,QYU,06:51,08:37,01:46,--,00770,00480,--,--,--,--,--,00480
2024-08-15,G1651,上海虹桥,AOH,厦门北,XKS,06:52,07:52,01:00,02190,01050,00650,--,--,--,--,--,--
2024-08-15,D2287,上海虹桥,AOH,深圳北,IOQ,06:57,08:06,01:09,--,00940,00590,--,--,--,--,--,00590
2024-08-15,D2287,上海虹桥,AOH,深圳北,IOQ,06:57,08:21,01:24,--,01040,00650,--,--,--,--,--,00650
2024-08-15,G7543,上海虹桥,AOH,温州南,VRH,07:04,07:56,00:52,02190,00940,00580,--,--,--,--,--,00580
2024-08-15,G2365,上海虹桥,AOH,邵阳,SYQ,07:09,08:18,01:09,02190,01050,00650,--,--,--,--,--,--
2024-08-15,G997,上海虹桥,AOH,深圳,SZQ,07:15,08:00,00:45,02190,01170,00730,--,--,--,--,--,--
2024-08-15,D2287,上海虹桥,AOH,深圳北,IOQ,07:21,08:06,00:45,--,00660,00410,--,--,--,--,--,00410
2024-08-15,D2287,上海虹桥,AOH,深圳北,IOQ,07:21,08:21,01:00,--,00750,00470,--,--,--,--,--,00470
2024-08-15,G1371,上海虹桥,AOH,昆明南,KOM,07:22,08:21,00:59,02190,01170,00730,--,--,--,--,--,--
2024-08-15,G7395,上海虹桥,AOH,南京南,NKH,07:25,08:29,01:04,02320,01240,00780,--,--,--,--,--,00780
2024-08-15,G2365,上海虹桥,AOH,邵阳,SYQ,07:28,08:18,00:50,01760,00850,00530,--,--,--,--,--,--
2024-08-15,G2189,上海虹桥,AOH,成都东,ICW,07:28,08:27,00:59,02190,01170,00730,--,--,--,--,--,--
