日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,G2784,上海,SHH,深圳北,IOQ,06:55,17:01,10:06,29340,14120,08835,--,--,--,--,--,--
2024-08-15,D2287,上海虹桥,AOH,深圳北,IOQ,06:57,18:16,11:19,--,10220,06390,--,--,--,--,--,06390
2024-08-15,G997,上海虹桥,AOH,深圳,SZQ,07:15,14:05,06:50,27380,13420,08345,--,--,--,--,--,--
2024-08-15,D2287,上海虹桥,AOH,深圳北,IOQ,07:21,18:16,10:55,--,09940,06210,--,--,--,--,--,06210
2024-08-15,D377,上海虹桥,AOH,深圳北,IOQ,07:41,19:03,11:22,--,10220,06390,--,--,--,--,--,06390
2024-08-15,D2281,南京南,NKH,深圳北,IOQ,08:40,20:15,11:35,--,10220,06390,--,--,--,--,--,06390
2024-08-15,D2281,南京南,NKH,深圳北,IOQ,09:00,20:15,11:15,--,10040,06270,--,--,--,--,--,06270
2024-08-15,D2289,南通,NUH,深圳北,IOQ,09:01,20:19,11:18,--,09770,06090,--,--,--,--,--,06090
2024-08-15,D2289,南通,NUH,深圳北,IOQ,09:26,20:19,10:53,--,09480,05910,--,--,--,--,--,05910
2024-08-15,D3107,上海虹桥,AOH,深圳北,IOQ,09:39,21:25,11:46,--,--,05690,14300,--,--,--,--,05690
2024-08-15,D3107,上海虹桥,AOH,深圳北,IOQ,10:03,21:25,11:22,--,--,05520,13900,--,--,--,--,05520
2024-08-15,D3125,淮安东,HAU,深圳北,IOQ,10:27,21:20,10:53,--,09860,06160,--,--,--,--,--,06160
2024-08-15,D2283,南通,NUH,深圳北,IOQ,11:18,22:26,11:08,--,09620,06010,--,--,--,--,--,06010
2024-08-15,T211,上海南,SNH,深圳东,BJQ,11:32,06:10,18:38,--,--,--,--,06130,03910,--,02340,02340
2024-08-15,G2788,上海,SHH,深圳,SZQ,12:50,22:33,09:43,28720,14200,08975,--,--,--,--,--,--
2024-08-15,T101,上海南,SNH,深圳东,BJQ,12:53,07:27,18:34,--,--,--,--,06130,03910,--,02340,02340
2024-08-15,G99,上海虹桥,AOH,香港西九龙,XJA,14:09,21:31,07:22,27380,13330,08195,--,--,--,--,--,--
