日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,G7032,上海,SHH,南京,NJH,05:46,06:11,00:25,--,00490,00300,--,--,--,--,--,00300
2024-08-15,G3124,上海,SHH,武汉,WHN,06:06,06:38,00:32,--,00560,00350,--,--,--,--,--,--
2024-08-15,G1970,上海虹桥,AOH,兰州西,LAJ,06:10,06:33,00:23,01260,00650,00390,--,--,--,--,--,--
2024-08-15,D352,上海虹桥,AOH,成都东,ICW,06:12,06:47,00:35,--,00500,00310,--,--,--,--,--,00310
2024-08-15,G1802,上海虹桥,AOH,银川,YIJ,06:15,06:38,00:23,01260,00650,00390,--,--,--,--,--,--
2024-08-15,G7080,上海,SHH,潜山,QSU,06:19,06:52,00:33,01220,00560,00350,--,--,--,--,--,00350
2024-08-15,D636,上海虹桥,AOH,成都东,ICW,06:32,07:09,00:37,--,00560,00350,--,--,--,--,--,00350
2024-08-15,G8252,上海,SHH,连云港,UIH,06:32,07:10,00:38,--,00560,00350,--,--,--,--,--,00350
2024-08-15,G8252,上海,SHH,连云港,UIH,06:40,07:10,00:30,--,00530,00320,--,--,--,--,--,00320
2024-08-15,G7002,上海,SHH,南京,NJH,06:48,07:21,00:33,01220,00560,00350,--,--,--,--,--,00350
2024-08-15,D2928,上海虹桥,AOH,威海,WKK,06:52,07:23,00:31,--,00440,00270,--,--,--,--,--,00270
2024-08-15,D2928,上海虹桥,AOH,威海,WKK,06:52,07:42,00:50,--,00500,00310,--,--,--,--,--,00310
2024-08-15,G2784,上海,SHH,深圳北,IOQ,06:55,07:32,00:37,01340,00620,00380,--,--,--,--,--,--
2024-08-15,D3072,上海虹桥,AOH,重庆北,CUW,07:02,07:37,00:35,--,00500,00310,--,--,--,--,--,00310
2024-08-15,G222,上海,SHH,青岛北,QHK,07:05,07:33,00:28,01450,00740,00440,--,--,--,--,--,--
2024-08-15,G8262,上海,SHH,睢宁,SNU,07:10,07:49,00:39,01220,00620,00380,--,--,--,--,--,00380
2024-08-15,G1974,上海虹桥,AOH,重庆西,CXW,07:17,07:41,00:24,01260,00650,00390,--,--,--,--,--,--
2024-08-15,G1986,上海虹桥,AOH,郑州东,ZAF,07:19,07:54,00:35,01470,00680,00420,--,--,--,--,--,--
2024-08-15,D2212,嘉兴南,EPH,重庆北,CUW,07:20,08:20,01:00,--,00660,00410,--,--,--,--,--,00410
2024-08-15,D2212,嘉兴南,EPH,重庆北,CUW,07:20,08:29,01:09,--,00720,00450,--,--,--,--,--,00450
2024-08-15,D3056,上海,SHH,成都东,ICW,07:23,07:55,00:32,--,00440,00270,--,--,--,--,--,00270
2024-08-15,D3056,上海,SHH,成都东,ICW,07:23,08:04,00:41,--,00500,00310,--,--,--,--,--,00310
2024-08-15,G1468,上海,SHH,南昌西,NXG,07:31,08:10,00:39,01340,00680,00420,--,--,--,--,--,--
2024-08-15,G376,上海虹桥,AOH,石家庄,SJP,07:32,08:06,00:34,01340,00670,00410,--,--,--,--,--,--
2024-08-15,D2212,嘉兴南,EPH,重庆北,CUW,07:42,08:20,00:38,--,00500,00310,--,--,--,--,--,00310
2024-08-15,D2212,嘉兴南,EPH,重庆北,CUW,07:42,08:29,00:47,--,00560,00350,--,--,--,--,--,00350
2024-08-15,G2616,上海,SHH,郑州东,ZAF,07:43,08:15,00:32,01340,00620,00380,--,--,--,--,--,--
2024-08-15,G1232,上海虹桥,AOH,丹东,DUT,07:47,08:25,00:38,01340,00670,00410,--,--,--,--,--,--
