日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,D2206,上海虹桥,AOH,成都东,ICW,06:01,19:30,13:29,--,09970,06245,--,--,--,--,--,06245
2024-08-15,D352,上海虹桥,AOH,成都东,ICW,06:12,18:09,11:57,--,09490,05935,--,--,--,--,--,05935
2024-08-15,D636,上海虹桥,AOH,成都东,ICW,06:32,18:30,11:58,--,09490,05935,--,--,--,--,--,05935
2024-08-15,D3072,上海虹桥,AOH,重庆北,CUW,07:02,19:15,12:13,--,09490,05935,--,--,--,--,--,05935
2024-08-15,G1974,上海虹桥,AOH,重庆西,CXW,07:17,19:57,12:40,34055,17695,10900,--,--,--,--,--,--
2024-08-15,D2212,嘉兴南,EPH,重庆北,CUW,07:20,20:11,12:51,--,09650,06035,--,--,--,--,--,06035
2024-08-15,D3056,上海,SHH,成都东,ICW,07:23,19:23,12:00,--,09490,05935,--,--,--,--,--,05935
2024-08-15,D2216,上海虹桥,AOH,重庆北,CUW,07:34,21:50,14:16,--,10720,06705,--,--,--,--,--,06705
2024-08-15,D2212,嘉兴南,EPH,重庆北,CUW,07:42,20:11,12:29,--,09490,05935,--,--,--,--,--,05935
2024-08-15,G3288,上海虹桥,AOH,沙坪坝,CYW,07:49,21:49,14:00,34135,17575,11000,--,--,--,--,--,--
2024-08-15,D2268,上海虹桥,AOH,重庆北,CUW,08:01,21:22,13:21,--,10180,06385,--,--,--,--,--,06385
2024-08-15,G1337,上海虹桥,AOH,重庆西,CXW,08:21,19:59,11:38,--,14475,08695,--,--,--,--,--,--
2024-08-15,D952,上海,SHH,成都东,ICW,08:30,18:52,10:22,--,09490,05935,--,--,--,--,--,05935
2024-08-15,D956,上海,SHH,重庆北,CUW,09:30,20:05,10:35,--,09490,05935,--,--,--,--,--,05935
2024-08-15,G1476,上海虹桥,AOH,成都东,ICW,09:51,20:31,10:40,33110,16575,10215,--,--,--,--,--,--
2024-08-15,G1333,上海虹桥,AOH,重庆西,CXW,11:44,23:03,11:19,27030,14315,08595,--,--,--,--,--,--
2024-08-15,G1532,上海虹桥,AOH,重庆北,CUW,11:52,23:34,11:42,--,15225,09535,--,--,--,--,--,--
2024-08-15,K71,上海南,SNH,重庆北,CUW,14:13,15:32,25:19,--,--,--,--,05980,03810,--,02240,02240
2024-08-15,K71,上海南,SNH,重庆北,CUW,14:44,15:32,24:48,--,--,--,--,05980,03810,--,02240,02240
2024-08-15,Z257,上海南,SNH,重庆北,CUW,19:39,12:46,17:07,--,--,--,--,05720,03630,--,--,--
