日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,G101,北京南,VNP,上海虹桥,AOH,06:10,12:09,05:59,18730,09300,05530,--,--,--,--,--,--
2024-08-15,G103,北京南,VNP,上海虹桥,AOH,06:20,11:58,05:38,18730,09300,05530,--,--,--,--,--,--
2024-08-15,G1,北京南,VNP,上海,SHH,07:00,11:29,04:29,23310,10670,06670,--,--,--,--,--,--
2024-08-15,G105,北京南,VNP,上海虹桥,AOH,07:17,13:03,05:46,18730,09300,05530,--,--,--,--,--,--
2024-08-15,G107,北京南,VNP,上海虹桥,AOH,07:25,13:12,05:47,21580,09300,05530,--,--,--,--,--,--
2024-08-15,G3,北京,BJP,上海,SHH,07:40,12:32,04:52,23440,10730,06710,--,--,--,--,--,--
2024-08-15,G109,北京南,VNP,上海虹桥,AOH,07:45,13:48,06:03,19980,09690,05760,--,--,--,--,--,--
2024-08-15,G3,北京,BJP,上海,SHH,08:00,12:32,04:32,23310,10670,06670,--,--,--,--,--,--
2024-08-15,G111,北京南,VNP,上海虹桥,AOH,08:16,14:11,05:55,18730,09300,05530,--,--,--,--,--,--
2024-08-15,G113,北京南,VNP,上海虹桥,AOH,08:39,15:01,06:22,21230,10360,06260,--,--,--,--,--,--
2024-08-15,G5,北京南,VNP,上海虹桥,AOH,09:00,13:37,04:37,23180,10600,06620,--,--,--,--,--,--
2024-08-15,G115,北京南,VNP,杭州东,HGH,09:10,14:48,05:38,23180,10350,06260,--,--,--,--,--,--
2024-08-15,G117,北京南,VNP,上海虹桥,AOH,09:20,14:55,05:35,21580,10060,05980,--,--,--,--,--,--
2024-08-15,G119,北京南,VNP,上海虹桥,AOH,09:24,15:32,06:08,18730,09300,05530,--,--,--,--,--,--
2024-08-15,G7,北京南,VNP,上海虹桥,AOH,10:00,14:35,04:35,23180,10600,06620,--,--,--,--,--,--
2024-08-15,G121,北京南,VNP,上海虹桥,AOH,10:05,15:42,05:37,23180,10350,06260,--,--,--,--,--,--
2024-08-15,G123,北京南,VNP,上海虹桥,AOH,10:14,16:26,06:12,23180,10350,06260,--,--,--,--,--,--
2024-08-15,G125,北京南,VNP,上海虹桥,AOH,10:48,16:50,06:02,23180,10350,06260,--,--,--,--,--,--
2024-08-15,G9,北京南,VNP,上海虹桥,AOH,11:00,15:37,04:37,23180,10600,06620,--,--,--,--,--,--
2024-08-15,G127,北京南,VNP,上海虹桥,AOH,11:05,17:08,06:03,21580,10060,05980,--,--,--,--,--,--
2024-08-15,G129,北京南,VNP,上海虹桥,AOH,11:18,17:38,06:20,19980,10060,05980,--,--,--,--,--,--
2024-08-15,G131,北京南,VNP,上海虹桥,AOH,11:27,17:22,05:55,21580,10060,05980,--,--,--,--,--,--
2024-08-15,G133,北京南,VNP,上海,SHH,11:50,18:02,06:12,20130,10130,06040,--,--,--,--,--,--
2024-08-15,G11,北京南,VNP,上海虹桥,AOH,12:00,16:38,04:38,23180,10600,06620,--,--,--,--,--,--
2024-08-15,1461,北京,BJP,上海,SHH,12:01,06:45,18:44,--,--,--,--,04555,02835,--,01565,01565
2024-08-15,G135,北京南,VNP,上海虹桥,AOH,12:12,18:21,06:09,19980,10060,05980,--,--,--,--,--,--
2024-08-15,G137,北京南,VNP,上海虹桥,AOH,12:47,18:56,06:09,19980,10060,05980,--,--,--,--,--,--
2024-08-15,G13,北京南,VNP,上海,SHH,13:00,17:35,04:35,23310,10670,06670,--,--,--,--,--,--
2024-08-15,G139,北京南,VNP,上海虹桥,AOH,13:04,19:06,06:02,19980,10060,05980,--,--,--,--,--,--
2024-08-15,G141,北京南,VNP,上海虹桥,AOH,13:34,20:08,06:34,21100,10160,06120,--,--,--,--,--,--
2024-08-15,G15,北京南,VNP,上海虹桥,AOH,14:00,18:33,04:33,23180,10600,06620,--,--,--,--,--,--
2024-08-15,G143,北京南,VNP,上海虹桥,AOH,14:08,20:07,05:59,19980,10060,05980,--,--,--,--,--,--
2024-08-15,G145,北京南,VNP,上海虹桥,AOH,14:14,20:12,05:58,18730,09690,05760,--,--,--,--,--,--
2024-08-15,G147,北京南,VNP,上海虹桥,AOH,14:27,20:43,06:16,18730,09690,05760,--,--,--,--,--,--
