日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,G335,北京西,BXP,福田,NZQ,07:26,17:49,10:23,29900,13790,08620,--,--,--,--,--,--
2024-08-15,G77,北京,BJP,广州南,IZQ,07:34,15:35,08:01,29980,15250,09530,--,--,--,--,--,--
2024-08-15,G77,北京,BJP,广州南,IZQ,08:00,15:35,07:35,29900,15210,09500,--,--,--,--,--,--
2024-08-15,G1579,北京西,BXP,广州南,IZQ,08:32,19:12,10:40,27240,13790,08620,--,--,--,--,--,--
2024-08-15,D35,北京西,BXP,广州东,GGQ,09:17,07:01,21:44,--,--,03270,--,--,--,--,--,03270
2024-08-15,G79,北京西,BXP,香港西九龙,XJA,10:00,17:16,07:16,32500,16530,10330,--,--,--,--,--,--
2024-08-15,G337,北京西,BXP,珠海,ZHQ,10:23,20:54,10:31,29900,15210,09500,--,--,--,--,--,--
2024-08-15,G339,北京西,BXP,广州南,IZQ,12:26,22:51,10:25,29900,13790,08620,--,--,--,--,--,--
2024-08-15,G81,北京西,BXP,深圳北,IOQ,14:00,21:43,07:43,32500,16530,10330,--,--,--,--,--,--
2024-08-15,Z13,沈阳北,SBT,广州,GZQ,14:24,12:41,22:17,--,--,--,13830,07500,04260,--,02510,02510
2024-08-15,Z501,北京西,BXP,三亚,SEQ,20:24,18:03,21:39,--,--,--,13830,07500,04260,--,02510,02510
2024-08-15,Z111,哈尔滨西,VAB,海口,VUQ,23:06,20:57,21:51,--,--,--,--,07230,04260,--,02510,02510
