日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,G171,北京南,VNP,杭州东,HGH,06:30,12:20,05:50,20560,10040,06050,--,--,--,--,--,--
2024-08-15,G173,北京南,VNP,宁波,NGH,07:04,13:02,05:58,19550,09720,05860,--,--,--,--,--,--
2024-08-15,G177,北京南,VNP,嵊州新昌,SKU,07:49,13:56,06:07,20560,10040,06050,--,--,--,--,--,--
2024-08-15,G31,北京南,VNP,杭州东,HGH,07:56,12:33,04:37,23130,10640,06630,--,--,--,--,--,--
2024-08-15,G197,北京南,VNP,平潭,PIS,08:12,13:50,05:38,19150,09720,05860,--,--,--,--,--,--
2024-08-15,G179,北京南,VNP,杭州东,HGH,08:29,14:13,05:44,21840,10340,06230,--,--,--,--,--,--
2024-08-15,G33,北京南,VNP,温州南,VRH,08:56,13:26,04:30,23130,10770,06740,--,--,--,--,--,--
2024-08-15,G115,北京南,VNP,杭州东,HGH,09:10,15:47,06:37,25370,11520,06990,--,--,--,--,--,--
2024-08-15,G169,北京南,VNP,南昌西,NXG,09:38,15:38,06:00,23130,10210,06230,--,--,--,--,--,--
2024-08-15,G35,北京南,VNP,宁波,NGH,09:56,14:26,04:30,23130,10770,06740,--,--,--,--,--,--
2024-08-15,G181,北京南,VNP,苍南,CEH,10:42,17:08,06:26,20560,10210,06230,--,--,--,--,--,--
2024-08-15,G37,北京南,VNP,千岛湖,QDU,10:56,15:44,04:48,23210,10760,06730,--,--,--,--,--,--
2024-08-15,G183,北京南,VNP,温州南,VRH,12:43,18:33,05:50,21840,10570,06450,--,--,--,--,--,--
2024-08-15,K1109,北京丰台,FTP,杭州,HZH,13:15,08:54,19:39,--,--,--,--,04885,03105,--,01805,01805
2024-08-15,G185,北京南,VNP,宁海,NHH,13:20,19:16,05:56,21840,10570,06450,--,--,--,--,--,--
2024-08-15,G187,北京南,VNP,台州西,TZH,13:38,19:42,06:04,20560,10340,06230,--,--,--,--,--,--
2024-08-15,G2557,北京南,VNP,永康南,QUH,14:04,20:51,06:47,21580,11045,06620,--,--,--,--,--,--
2024-08-15,G189,北京南,VNP,杭州东,HGH,15:12,21:01,05:49,21840,10340,06230,--,--,--,--,--,--
2024-08-15,G191,北京南,VNP,江山,JUH,15:18,21:26,06:08,20560,10040,06050,--,--,--,--,--,--
2024-08-15,G193,北京南,VNP,杭州东,HGH,16:07,22:04,05:57,19150,09910,05940,--,--,--,--,--,--
2024-08-15,G195,北京南,VNP,宁波,NGH,16:17,22:16,05:59,19150,09910,05940,--,--,--,--,--,--
2024-08-15,G39,北京南,VNP,杭州东,HGH,19:04,23:21,04:17,23130,10770,06740,--,--,--,--,--,--
2024-08-15,D17,北京,BJP,杭州,HZH,19:16,09:00,13:44,--,--,03530,--,--,--,--,--,03530
2024-08-15,D11,北京,BJP,杭州,HZH,21:15,11:11,13:56,--,--,03530,--,--,--,--,--,03530
