日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,G101,北京南,VNP,上海虹桥,AOH,06:10,11:43,05:33,17730,08800,05240,--,--,--,--,--,--
2024-08-15,G109,北京南,VNP,上海虹桥,AOH,07:45,13:16,05:31,18910,09170,05450,--,--,--,--,--,--
2024-08-15,G111,北京南,VNP,上海虹桥,AOH,08:16,13:46,05:30,17730,08800,05240,--,--,--,--,--,--
2024-08-15,G5,北京南,VNP,上海虹桥,AOH,09:00,13:10,04:10,21940,10030,06270,--,--,--,--,--,--
2024-08-15,G115,北京南,VNP,杭州东,HGH,09:10,14:23,05:13,21940,09790,05930,--,--,--,--,--,--
2024-08-15,G119,北京南,VNP,上海虹桥,AOH,09:24,14:59,05:35,17730,08800,05240,--,--,--,--,--,--
2024-08-15,G121,北京南,VNP,上海虹桥,AOH,10:05,15:05,05:00,21940,09790,05930,--,--,--,--,--,--
2024-08-15,G129,北京南,VNP,上海虹桥,AOH,11:18,17:09,05:51,18910,09520,05670,--,--,--,--,--,--
2024-08-15,G131,北京南,VNP,上海虹桥,AOH,11:27,16:57,05:30,20430,09520,05670,--,--,--,--,--,--
2024-08-15,G133,北京南,VNP,上海,SHH,11:50,17:33,05:43,18910,09520,05670,--,--,--,--,--,--
2024-08-15,1461,北京,BJP,上海,SHH,12:01,05:37,17:36,--,--,--,--,04305,02685,--,01485,01485
2024-08-15,G135,北京南,VNP,上海虹桥,AOH,12:12,17:56,05:44,18910,09520,05670,--,--,--,--,--,--
2024-08-15,G137,北京南,VNP,上海虹桥,AOH,12:47,18:31,05:44,18910,09520,05670,--,--,--,--,--,--
2024-08-15,G15,北京南,VNP,上海虹桥,AOH,14:00,18:08,04:08,21940,10030,06270,--,--,--,--,--,--
2024-08-15,G143,北京南,VNP,上海虹桥,AOH,14:08,19:41,05:33,18910,09520,05670,--,--,--,--,--,--
2024-08-15,G147,北京南,VNP,上海虹桥,AOH,14:27,20:16,05:49,17730,09170,05450,--,--,--,--,--,--
2024-08-15,G149,北京南,VNP,上海虹桥,AOH,15:08,20:45,05:37,18910,09520,05670,--,--,--,--,--,--
2024-08-15,G151,北京南,VNP,嘉兴南,EPH,15:49,21:35,05:46,17730,09170,05450,--,--,--,--,--,--
2024-08-15,G157,北京南,VNP,上海虹桥,AOH,16:53,22:47,05:54,17730,08800,05240,--,--,--,--,--,--
2024-08-15,G25,北京南,VNP,上海虹桥,AOH,18:04,22:32,04:28,21940,09790,05930,--,--,--,--,--,--
2024-08-15,D9,北京南,VNP,上海,SHH,19:36,06:50,11:14,--,--,03170,--,--,--,--,--,--
2024-08-15,T109,北京,BJP,上海,SHH,20:03,10:04,14:01,--,--,--,--,04505,02885,--,01685,01685
