日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,G51,北京西,BXP,重庆北,CUW,06:55,13:55,07:00,30120,14860,09290,--,--,--,--,--,--
2024-08-15,K507,北京西,BXP,贵阳,GIW,07:12,08:58,25:46,--,--,--,--,05980,03810,--,02240,02240
2024-08-15,G371,北京西,BXP,贵阳北,KQW,07:44,17:19,09:35,27520,13550,08470,--,--,--,--,--,--
2024-08-15,G371,北京西,BXP,贵阳北,KQW,07:44,17:48,10:04,27880,13740,08590,--,--,--,--,--,--
2024-08-15,G387,北京丰台,FTP,重庆西,CXW,09:29,20:41,11:12,29090,14365,08980,--,--,--,--,--,--
2024-08-15,G331,北京西,BXP,成都东,ICW,09:45,19:11,09:26,26320,13200,08250,--,--,--,--,--,--
2024-08-15,D49,北京西,BXP,成都东,ICW,11:08,05:17,18:09,--,--,02980,--,--,--,--,--,02980
2024-08-15,G351,北京西,BXP,重庆北,CUW,11:10,20:45,09:35,27480,13600,08500,--,--,--,--,--,--
2024-08-15,G53,北京西,BXP,重庆北,CUW,15:05,21:57,06:52,27400,13730,08580,--,--,--,--,--,--
2024-08-15,T9,北京西,BXP,重庆西,CXW,15:06,15:43,24:37,--,--,--,--,06130,03890,--,02290,02290
2024-08-15,D95,北京西,BXP,重庆北,CUW,17:53,11:27,17:34,--,--,02980,--,--,--,--,--,02980
2024-08-15,D3,北京西,BXP,重庆北,CUW,18:05,12:02,17:57,--,--,02910,--,--,--,--,--,02910
