日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,G336,福田,NZQ,北京西,BXP,07:22,17:58,10:36,27240,13790,08620,--,--,--,--,--,--
2024-08-15,Z112,海口,VUQ,哈尔滨西,VAB,07:32,05:28,21:56,--,--,--,--,07230,04260,--,02510,02510
2024-08-15,G1580,广州南,IZQ,北京西,BXP,08:10,19:13,11:03,27240,13790,08620,--,--,--,--,--,--
2024-08-15,Z502,三亚,SEQ,北京西,BXP,08:32,06:51,22:19,--,--,--,13830,07500,04260,--,02510,02510
2024-08-15,G82,深圳北,IOQ,北京西,BXP,08:38,16:27,07:49,32500,16530,10330,--,--,--,--,--,10330
2024-08-15,G338,珠海,ZHQ,北京西,BXP,11:15,21:20,10:05,29900,15210,09500,--,--,--,--,--,--
2024-08-15,G80,香港西九龙,XJA,北京西,BXP,12:13,19:30,07:17,32500,16530,10330,--,--,--,--,--,--
2024-08-15,G340,广州南,IZQ,北京西,BXP,12:21,22:55,10:34,29900,13790,08620,--,--,--,--,--,--
2024-08-15,G78,广州南,IZQ,北京,BJP,14:16,21:49,07:33,32500,16530,10330,--,--,--,--,--,--
2024-08-15,G78,广州南,IZQ,北京,BJP,14:16,22:12,07:56,32590,16580,10360,--,--,--,--,--,--
2024-08-15,D36,广州东,GGQ,北京西,BXP,15:40,13:44,22:04,--,--,03270,--,--,--,--,--,03270
2024-08-15,Z14,广州,GZQ,沈阳北,SBT,16:58,15:15,22:17,--,--,--,13830,07500,04260,--,02510,02510
