日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,D1802,广州南,IZQ,成都东,ICW,06:36,16:07,09:31,--,08940,05590,--,--,--,--,--,05590
2024-08-15,D1804,广州南,IZQ,广元,GYW,07:28,17:09,09:41,--,09810,06130,--,--,--,--,--,06130
2024-08-15,G2942,深圳北,IOQ,成都东,ICW,07:42,14:47,07:05,22700,10690,06680,--,--,--,--,--,06680
2024-08-15,D1806,广州南,IZQ,广元,GYW,07:48,17:52,10:04,--,09290,05810,--,--,--,--,--,05810
2024-08-15,D1832,珠海,ZHQ,成都东,ICW,08:45,18:31,09:46,--,10130,06340,--,--,--,--,--,06340
2024-08-15,G3726,广州南,IZQ,成都东,ICW,09:01,17:34,08:33,--,10130,06330,--,--,--,--,--,--
2024-08-15,D1808,广州南,IZQ,成都东,ICW,09:21,18:57,09:36,--,09810,06130,--,--,--,--,--,06130
2024-08-15,D1820,广州南,IZQ,成都东,ICW,09:46,20:09,10:23,--,08830,05520,--,--,--,--,--,05520
2024-08-15,G2240,广州南,IZQ,西安北,EAY,09:57,18:48,08:51,19080,09820,06140,--,--,--,--,--,--
2024-08-15,D1810,广州南,IZQ,江油,JFW,09:59,19:26,09:27,--,09290,05810,--,--,--,--,--,05810
2024-08-15,D1812,广州南,IZQ,绵阳,MYW,10:21,20:12,09:51,--,09290,05810,--,--,--,--,--,05810
2024-08-15,D1826,湛江西,ZWQ,成都东,ICW,10:27,20:59,10:32,--,08830,05520,--,--,--,--,--,05520
2024-08-15,D1814,广州南,IZQ,江油,JFW,10:57,19:56,08:59,--,10170,06360,--,--,--,--,--,06360
2024-08-15,D1814,广州南,IZQ,江油,JFW,10:57,20:07,09:10,--,10220,06390,--,--,--,--,--,06390
2024-08-15,G2964,香港西九龙,XJA,成都东,ICW,11:10,18:23,07:13,19230,10570,06600,--,--,--,--,--,--
2024-08-15,D1816,广州南,IZQ,成都东,ICW,11:31,21:36,10:05,--,09680,06050,--,--,--,--,--,06050
2024-08-15,G3702,广州南,IZQ,成都东,ICW,12:02,19:04,07:02,18780,10330,06450,--,--,--,--,--,--
2024-08-15,G3704,广州南,IZQ,成都东,ICW,12:30,20:52,08:22,18010,09980,06230,--,--,--,--,--,--
2024-08-15,G3708,广州南,IZQ,成都东,ICW,14:00,21:30,07:30,18090,10000,06250,--,--,--,--,--,--
2024-08-15,G3712,广州南,IZQ,成都东,ICW,14:48,22:12,07:24,19460,10480,06550,--,--,--,--,--,--
2024-08-15,D192,广州白云,GBA,成都东,ICW,20:52,21:47,24:55,--,--,03650,--,--,--,--,--,03650
2024-08-15,Z586,深圳东,BJQ,成都西,CMW,22:43,18:42,19:59,--,--,--,--,06130,03430,--,02010,02010
