日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,K512,海口,VUQ,上海南,SNH,07:52,04:24,20:32,--,--,--,--,05745,03225,--,01895,01895
2024-08-15,K528,广州白云,GBA,南京,NJH,08:19,01:53,17:34,--,--,--,--,05085,02965,--,01735,01735
2024-08-15,G818,广州南,IZQ,上海虹桥,AOH,08:28,14:18,05:50,26190,13320,08320,--,--,--,--,--,08320
2024-08-15,G1184,广州南,IZQ,杭州西,HVU,08:43,17:42,08:59,26140,12670,07920,--,--,--,--,--,07920
2024-08-15,G3068,广州东,GGQ,杭州西,HVU,09:10,15:59,06:49,25260,12160,07690,--,--,--,--,--,--
2024-08-15,G3068,广州东,GGQ,杭州西,HVU,09:36,15:59,06:23,24440,11790,07380,--,--,--,--,--,--
2024-08-15,D3121,广州东,GGQ,杭州东,HGH,10:42,22:28,11:46,--,--,06460,--,--,--,--,--,06460
2024-08-15,G3072,广州东,GGQ,南京南,NKH,11:41,20:24,08:43,24490,11810,07470,--,--,--,--,--,--
2024-08-15,G3072,广州东,GGQ,南京南,NKH,12:06,20:24,08:18,23670,11440,07160,--,--,--,--,--,--
2024-08-15,G1302,珠海,ZHQ,南通,NUH,13:19,20:47,07:28,24040,11870,07190,--,--,--,--,--,07190
2024-08-15,G3078,广州东,GGQ,杭州西,HVU,14:13,21:12,06:59,25130,12100,07650,--,--,--,--,--,--
2024-08-15,G3078,广州东,GGQ,杭州西,HVU,14:38,21:12,06:34,24310,11730,07340,--,--,--,--,--,--
2024-08-15,T170,广州,GZQ,上海南,SNH,15:00,06:14,15:14,--,--,--,--,05085,02965,--,01735,01735
2024-08-15,G820,广州南,IZQ,上海虹桥,AOH,15:11,21:24,06:13,25010,12390,07520,--,--,--,--,--,--
2024-08-15,K210,广州白云,GBA,宁波,NGH,15:31,11:15,19:44,--,--,--,--,05195,02965,--,01735,01735
2024-08-15,K210,广州白云,GBA,宁波,NGH,15:31,12:02,20:31,--,--,--,--,05195,02965,--,01735,01735
2024-08-15,G1404,广州南,IZQ,杭州东,HGH,15:53,23:27,07:34,22730,11400,06780,--,--,--,--,--,--
