日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,K9217,长沙,CSQ,深圳,SZQ,24:00,24:00,99:59,--,--,--,--,--,--,--,--,--
2024-08-15,K9259,松桃,MZQ,深圳东,BJQ,05:03,06:55,01:52,--,--,--,--,01045,00695,--,00365,00365
2024-08-15,T95,武昌,WCN,深圳东,BJQ,24:00,24:00,99:59,--,--,--,--,--,--,--,--,--
2024-08-15,K6517,炎陵,YAG,深圳东,BJQ,06:05,09:43,03:38,--,--,--,--,--,00695,--,00365,00365
2024-08-15,C8021,广州白云,GBA,深圳,SZQ,06:11,08:20,02:09,--,00995,00795,--,--,--,--,--,00795
2024-08-15,K1231,湛江,ZJZ,深圳东,BJQ,06:12,08:30,02:18,--,--,--,--,00875,00675,--,--,--
2024-08-15,C7001,广州东,GGQ,深圳,SZQ,06:12,07:31,01:19,--,00995,00795,--,--,--,--,--,00795
2024-08-15,C205,常德,VGQ,深圳,SZQ,06:21,08:02,01:41,--,--,00290,--,--,--,--,--,00290
2024-08-15,C8021,广州白云,GBA,深圳,SZQ,06:27,08:20,01:53,--,00995,00795,--,--,--,--,--,00795
2024-08-15,C7013,广州东,GGQ,深圳,SZQ,06:30,07:56,01:26,--,00995,00795,--,--,--,--,--,00795
2024-08-15,G6349,广州南,IZQ,梅州西,MXA,06:50,07:26,00:36,01995,00995,00745,--,--,--,--,--,00745
2024-08-15,G6203,广州南,IZQ,深圳北,IOQ,07:02,07:41,00:39,01995,00995,00745,--,--,--,--,--,00745
2024-08-15,C8001,广州东,GGQ,深圳,SZQ,07:04,08:09,01:05,--,00995,00795,--,--,--,--,--,00795
2024-08-15,K951,靖西,JMZ,深圳东,BJQ,07:05,09:23,02:18,--,--,--,--,00875,00675,--,00215,00215
2024-08-15,G6539,广州南,IZQ,香港西九龙,XJA,07:07,07:54,00:47,01995,00995,00745,--,--,--,--,--,--
