日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,G3722,广州南,IZQ,重庆西,CXW,07:31,13:41,06:10,14470,08030,05020,--,--,--,--,--,--
2024-08-15,G2942,深圳北,IOQ,成都东,ICW,07:42,13:25,05:43,16890,08030,05020,--,--,--,--,--,05020
2024-08-15,G3724,广州南,IZQ,重庆西,CXW,08:30,14:24,05:54,14470,08030,05020,--,--,--,--,--,--
2024-08-15,G3726,广州南,IZQ,成都东,ICW,09:01,15:41,06:40,--,07680,04800,--,--,--,--,--,--
2024-08-15,G2944,深圳北,IOQ,重庆西,CXW,09:05,15:11,06:06,14470,08030,05020,--,--,--,--,--,05020
2024-08-15,G3750,珠海,ZHQ,重庆西,CXW,09:08,15:51,06:43,14470,08030,05020,--,--,--,--,--,--
2024-08-15,D1820,广州南,IZQ,成都东,ICW,09:46,17:41,07:55,--,07270,04550,--,--,--,--,--,04550
2024-08-15,G2240,广州南,IZQ,西安北,EAY,09:57,17:10,07:13,13700,07270,04550,--,--,--,--,--,--
2024-08-15,D1834,广州南,IZQ,重庆西,CXW,10:11,18:19,08:08,--,07270,04550,--,--,--,--,--,04550
2024-08-15,D1826,湛江西,ZWQ,成都东,ICW,10:27,18:49,08:22,--,07270,04550,--,--,--,--,--,04550
2024-08-15,D1836,广州南,IZQ,重庆西,CXW,11:30,19:47,08:17,--,07680,04810,--,--,--,--,--,04810
2024-08-15,K486,深圳,SZQ,重庆北,CUW,11:45,09:15,21:30,--,--,--,--,05870,03370,--,01980,01980
2024-08-15,K202,广州白云,GBA,重庆北,CUW,12:42,10:20,21:38,--,--,--,--,06020,03370,--,01980,01980
2024-08-15,K814,广州,GZQ,重庆北,CUW,12:43,11:46,23:03,--,--,--,--,06020,03370,--,01980,01980
2024-08-15,G320,香港西九龙,XJA,重庆西,CXW,12:56,18:55,05:59,16890,08030,05020,--,--,--,--,--,--
2024-08-15,K1172,惠州,HCQ,重庆北,CUW,13:08,08:14,19:06,--,--,--,--,05185,02965,--,01735,01735
2024-08-15,G3728,广州南,IZQ,重庆西,CXW,13:17,19:19,06:02,--,07680,04800,--,--,--,--,--,--
2024-08-15,K356,深圳东,BJQ,重庆北,CUW,13:21,11:53,22:32,--,--,--,--,05870,03370,--,01980,01980
2024-08-15,K776,东莞东,DMQ,重庆北,CUW,13:47,08:28,18:41,--,--,--,--,05185,02965,--,01735,01735
2024-08-15,D1838,广州南,IZQ,重庆西,CXW,14:05,21:28,07:23,--,07270,04550,--,--,--,--,--,04550
2024-08-15,D1840,广州南,IZQ,重庆西,CXW,14:15,22:51,08:36,--,06750,04230,--,--,--,--,--,04230
2024-08-15,G3712,广州南,IZQ,成都东,ICW,14:48,20:49,06:01,14470,08030,05020,--,--,--,--,--,--
2024-08-15,G3730,广州南,IZQ,重庆西,CXW,15:15,21:39,06:24,--,07680,04800,--,--,--,--,--,--
2024-08-15,G2930,深圳北,IOQ,重庆西,CXW,15:24,22:00,06:36,13700,07680,04800,--,--,--,--,--,--
2024-08-15,K688,惠州,HCQ,重庆北,CUW,16:26,10:51,18:25,--,--,--,--,05465,03045,--,01775,01775
2024-08-15,K1096,广州白云,GBA,重庆北,CUW,22:06,18:38,20:32,--,--,--,--,05615,03105,--,01805,01805
2024-08-15,Z586,深圳东,BJQ,成都西,CMW,22:43,15:26,16:43,--,--,--,--,05185,02965,--,01735,01735
2024-08-15,K192,广州白云,GBA,重庆西,CXW,22:54,17:22,18:28,--,--,--,--,05615,03105,--,01805,01805
