日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,G2195,成都东,ICW,上海虹桥,AOH,06:06,19:28,13:22,32340,17025,10405,--,--,--,--,--,--
2024-08-15,D3058,成都东,ICW,上海,SHH,06:10,21:18,15:08,--,11040,06900,--,--,--,--,--,06900
2024-08-15,D638,成都东,ICW,上海虹桥,AOH,07:10,22:15,15:05,--,11040,06900,--,--,--,--,--,06900
2024-08-15,G1475,成都东,ICW,上海虹桥,AOH,07:13,20:01,12:48,38940,19475,12015,--,--,--,--,--,--
2024-08-15,G3286,成都东,ICW,上海虹桥,AOH,07:43,19:41,11:58,29125,14985,09390,--,--,--,--,--,--
2024-08-15,D954,成都东,ICW,上海,SHH,07:47,20:21,12:34,--,11040,06900,--,--,--,--,--,06900
2024-08-15,K1158,成都西,CMW,上海,SHH,07:50,14:37,30:47,--,--,--,--,07170,04560,--,02640,02640
2024-08-15,D354,成都东,ICW,上海虹桥,AOH,07:52,22:21,14:29,--,11040,06900,--,--,--,--,--,06900
2024-08-15,D2208,成都东,ICW,上海虹桥,AOH,08:03,23:18,15:15,--,11640,07290,--,--,--,--,--,07290
2024-08-15,G3294,泸州,LUE,上海虹桥,AOH,24:00,24:00,99:59,--,--,--,--,--,--,--,--,--
2024-08-15,G2191,成都东,ICW,上海虹桥,AOH,09:15,22:04,12:49,31420,16775,10125,--,--,--,--,--,--
2024-08-15,G3290,沙坪坝,CYW,上海虹桥,AOH,10:42,22:49,12:07,28245,14515,09090,--,--,--,--,--,--
2024-08-15,G1976,重庆西,CXW,上海虹桥,AOH,11:01,22:32,11:31,29035,15155,09320,--,--,--,--,--,--
2024-08-15,K284,成都西,CMW,上海,SHH,18:23,06:53,36:30,--,--,--,--,07345,04635,--,02735,02735
2024-08-15,K352,成都西,CMW,上海南,SNH,18:57,07:43,36:46,--,--,--,--,07345,04635,--,02735,02735
2024-08-15,K352,成都西,CMW,上海南,SNH,18:57,08:14,37:17,--,--,--,--,07475,04715,--,02785,02785
