日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,G3711,成都东,ICW,广州南,IZQ,07:08,14:26,07:18,19160,10300,06440,--,--,--,--,--,--
2024-08-15,G3707,成都东,ICW,广州南,IZQ,07:13,15:34,08:21,18090,10000,06250,--,--,--,--,--,--
2024-08-15,G3703,成都东,ICW,广州南,IZQ,07:39,14:33,06:54,18010,09980,06230,--,--,--,--,--,--
2024-08-15,D1822,成都东,ICW,广州南,IZQ,07:41,17:25,09:44,--,09240,05780,--,--,--,--,--,05780
2024-08-15,D1833,成都东,ICW,珠海,ZHQ,07:43,16:46,09:03,--,10540,06600,--,--,--,--,--,06600
2024-08-15,G3705,成都东,ICW,广州南,IZQ,08:16,16:00,07:44,18010,09980,06230,--,--,--,--,--,--
2024-08-15,D1803,成都东,ICW,广州南,IZQ,08:50,17:42,08:52,--,09160,05730,--,--,--,--,--,05730
2024-08-15,D1801,江油,JFW,广州南,IZQ,09:22,19:00,09:38,--,10220,06390,--,--,--,--,--,06390
2024-08-15,D1805,绵阳,MYW,广州南,IZQ,09:42,18:44,09:02,--,09810,06130,--,--,--,--,--,06130
2024-08-15,D1807,江油,JFW,广州南,IZQ,10:05,18:53,08:48,--,09810,06130,--,--,--,--,--,06130
2024-08-15,D1809,成都东,ICW,广州南,IZQ,10:10,19:23,09:13,--,09810,06130,--,--,--,--,--,06130
2024-08-15,D1828,成都东,ICW,湛江西,ZWQ,10:11,19:52,09:41,--,09240,05780,--,--,--,--,--,05780
2024-08-15,D1811,广元,GYW,广州南,IZQ,10:15,19:40,09:25,--,09810,06130,--,--,--,--,--,06130
2024-08-15,G2963,成都东,ICW,香港西九龙,XJA,10:42,17:51,07:09,19230,10570,06600,--,--,--,--,--,--
2024-08-15,G3725,成都东,ICW,广州南,IZQ,11:27,20:03,08:36,--,10130,06330,--,--,--,--,--,--
2024-08-15,G2239,西安北,EAY,广州南,IZQ,11:32,20:31,08:59,18690,09720,06080,--,--,--,--,--,--
2024-08-15,D1813,广元,GYW,广州南,IZQ,11:37,20:10,08:33,--,10220,06390,--,--,--,--,--,06390
2024-08-15,D1815,成都东,ICW,广州南,IZQ,12:47,22:04,09:17,--,09160,05730,--,--,--,--,--,05730
2024-08-15,G2941,成都东,ICW,深圳北,IOQ,15:12,22:18,07:06,20280,10690,06680,--,--,--,--,--,--
2024-08-15,D194,成都东,ICW,广州白云,GBA,18:05,19:09,25:04,--,--,03650,--,--,--,--,--,03650
2024-08-15,Z588,成都西,CMW,深圳东,BJQ,20:38,16:48,20:10,--,--,--,--,06130,03430,--,02010,02010
