日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,D5118,成都东,ICW,重庆北,CUW,06:05,08:07,02:02,--,01550,00965,--,--,--,--,--,00965
2024-08-15,D3058,成都东,ICW,上海,SHH,06:10,08:32,02:22,--,01550,00965,--,--,--,--,--,00965
2024-08-15,D2244,成都东,ICW,福州,FZS,06:24,08:52,02:28,--,01550,00965,--,--,--,--,--,00965
2024-08-15,G2371,成都东,ICW,厦门北,XKS,06:48,08:05,01:17,04380,02070,01290,--,--,--,--,--,--
2024-08-15,G317,成都东,ICW,青岛,QDK,06:53,09:04,02:11,06140,02810,01750,--,--,--,--,--,--
2024-08-15,D620,成都东,ICW,武汉,WHN,07:00,09:02,02:02,--,01550,00965,--,--,--,--,--,00965
2024-08-15,G3711,成都东,ICW,广州南,IZQ,07:08,08:34,01:26,04690,02270,01420,--,--,--,--,--,--
2024-08-15,D638,成都东,ICW,上海虹桥,AOH,07:10,09:23,02:13,--,01550,00965,--,--,--,--,--,00965
2024-08-15,G1475,成都东,ICW,上海虹桥,AOH,07:13,09:20,02:07,05270,02590,01610,--,--,--,--,--,--
2024-08-15,D5104,成都东,ICW,重庆北,CUW,07:15,09:29,02:14,--,01550,00965,--,--,--,--,--,00965
2024-08-15,G1755,成都东,ICW,福州南,FYS,07:24,09:03,01:39,04380,02340,01460,--,--,--,--,--,--
2024-08-15,G8701,成都东,ICW,万州北,WZE,07:30,09:36,02:06,--,02590,01610,--,--,--,--,--,--
2024-08-15,D2224,成都东,ICW,杭州东,HGH,07:36,09:34,01:58,--,01550,00965,--,--,--,--,--,00965
2024-08-15,D1822,成都东,ICW,广州南,IZQ,07:41,09:56,02:15,--,01560,00970,--,--,--,--,--,00970
2024-08-15,D954,成都东,ICW,上海,SHH,07:47,09:42,01:55,--,01550,00965,--,--,--,--,--,00965
2024-08-15,D354,成都东,ICW,上海虹桥,AOH,07:52,10:05,02:13,--,01550,00965,--,--,--,--,--,00965
2024-08-15,G3593,绵阳,MYW,南宁东,NFZ,07:55,09:20,01:25,05810,02660,01660,--,--,--,--,--,--
2024-08-15,D2208,成都东,ICW,上海虹桥,AOH,08:03,10:12,02:09,--,01550,00965,--,--,--,--,--,00965
2024-08-15,G1983,成都东,ICW,苍南,CEH,08:05,09:47,01:42,04690,02340,01460,--,--,--,--,--,--
2024-08-15,D2256,成都东,ICW,宜兴,YUH,08:09,10:35,02:26,--,01550,00965,--,--,--,--,--,00965
2024-08-15,D2374,成都东,ICW,张家港,ZAU,08:15,10:24,02:09,--,01550,00965,--,--,--,--,--,00965
