日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,K80,昆明,KMM,上海南,SNH,02:56,05:28,02:32,--,--,--,--,01135,00745,--,00285,00285
2024-08-15,K288,南昌,NCG,上海南,SNH,04:04,05:48,01:44,--,--,--,--,01085,00705,--,00245,00245
2024-08-15,K288,南昌,NCG,上海南,SNH,04:04,06:20,02:16,--,--,--,--,01135,00745,--,00285,00285
2024-08-15,K512,海口,VUQ,上海南,SNH,04:31,06:51,02:20,--,--,--,--,01085,00705,--,00245,00245
2024-08-15,K512,海口,VUQ,上海南,SNH,04:31,07:23,02:52,--,--,--,--,01135,00745,--,00285,00285
2024-08-15,Z248,长沙,CSQ,上海南,SNH,04:42,06:39,01:57,--,--,--,--,01135,00745,--,00285,00285
2024-08-15,K1128,襄阳,XFN,上海南,SNH,04:52,07:09,02:17,--,--,--,--,01135,00745,--,00285,00285
2024-08-15,K352,成都西,CMW,上海南,SNH,05:30,07:43,02:13,--,--,--,--,01085,00705,--,00245,00245
2024-08-15,K352,成都西,CMW,上海南,SNH,05:30,08:14,02:44,--,--,--,--,01135,00745,--,00285,00285
2024-08-15,Z258,重庆北,CUW,上海南,SNH,05:55,08:34,02:39,--,--,--,--,01135,00745,--,--,--
2024-08-15,G7358,杭州,HZH,上海,SHH,06:09,07:07,00:58,--,01120,00700,--,--,--,--,--,00700
2024-08-15,G7358,杭州,HZH,上海,SHH,06:09,07:37,01:28,--,01340,00830,--,--,--,--,--,00830
2024-08-15,T170,广州,GZQ,上海南,SNH,06:20,09:08,02:48,--,--,--,--,01135,00745,--,00285,00285
2024-08-15,G7302,杭州东,HGH,上海虹桥,AOH,06:47,07:30,00:43,01760,00940,00580,--,--,--,--,--,00580
2024-08-15,G7302,杭州东,HGH,上海虹桥,AOH,06:47,07:47,01:00,02190,01170,00730,--,--,--,--,--,00730
2024-08-15,G7552,千岛湖,QDU,上海虹桥,AOH,07:15,08:21,01:06,02190,01170,00730,--,--,--,--,--,00730
2024-08-15,K124,十堰,SNN,上海南,SNH,07:17,09:48,02:31,--,--,--,--,01085,00705,--,00245,00245
2024-08-15,K124,十堰,SNN,上海南,SNH,07:17,10:36,03:19,--,--,--,--,01135,00745,--,00285,00285
2024-08-15,G1866,宁波,NGH,郑州东,ZAF,07:26,08:16,00:50,01760,00940,00580,--,--,--,--,--,--
2024-08-15,G1866,宁波,NGH,郑州东,ZAF,07:26,08:32,01:06,02190,01170,00730,--,--,--,--,--,--
2024-08-15,G7492,金华,JBH,太湖南,TAU,07:31,08:51,01:20,01760,00940,00580,--,--,--,--,--,00580
2024-08-15,G7492,金华,JBH,太湖南,TAU,07:31,09:08,01:37,02190,01170,00730,--,--,--,--,--,00730
2024-08-15,D2160,宁波,NGH,青岛北,QHK,07:37,08:29,00:52,--,00660,00410,--,--,--,--,--,00410
2024-08-15,D2160,宁波,NGH,青岛北,QHK,07:37,08:40,01:03,--,00760,00470,--,--,--,--,--,00470
2024-08-15,D2160,宁波,NGH,青岛北,QHK,07:37,09:00,01:23,--,00940,00590,--,--,--,--,--,00590
2024-08-15,T78,南宁,NNZ,上海南,SNH,07:48,09:59,02:11,--,--,--,--,01135,00745,--,--,--
2024-08-15,T212,深圳东,BJQ,上海南,SNH,07:55,10:06,02:11,--,--,--,--,01135,00745,--,00285,00285
2024-08-15,G7554,千岛湖,QDU,上海虹桥,AOH,07:55,08:55,01:00,02190,01170,00730,--,--,--,--,--,00730
2024-08-15,G7502,宁波,NGH,上海虹桥,AOH,08:00,09:09,01:09,01820,00960,00580,--,--,--,--,--,00580
2024-08-15,G7502,宁波,NGH,上海虹桥,AOH,08:00,09:29,01:29,02480,01310,00800,--,--,--,--,--,00800
2024-08-15,G7372,江山,JUH,阜阳西,FXU,08:07,09:07,01:00,01760,00940,00580,--,--,--,--,--,00580
2024-08-15,G7372,江山,JUH,阜阳西,FXU,08:07,09:23,01:16,02190,01170,00730,--,--,--,--,--,00730
2024-08-15,G7502,宁波,NGH,上海虹桥,AOH,08:15,09:09,00:54,01530,00820,00510,--,--,--,--,--,00510
2024-08-15,G7502,宁波,NGH,上海虹桥,AOH,08:15,09:29,01:14,02190,01170,00730,--,--,--,--,--,00730
2024-08-15,K576,永州,AOQ,上海南,SNH,08:25,11:53,03:28,--,--,--,--,01135,00745,--,00285,00285
2024-08-15,G7580,黄山北,NYH,扬州,YLH,08:34,09:34,01:00,02190,01170,00730,--,--,--,--,--,00730
2024-08-15,G7530,宁海,NHH,上海虹桥,AOH,08:38,09:38,01:00,02190,01170,00730,--,--,--,--,--,00730
2024-08-15,G7382,衢州,QEH,上海虹桥,AOH,08:40,09:53,01:13,02480,01330,00820,--,--,--,--,--,00820
2024-08-15,G7400,永康南,QUH,上海虹桥,AOH,08:43,09:42,00:59,--,01170,00730,--,--,--,--,--,00730
2024-08-15,G7382,衢州,QEH,上海虹桥,AOH,08:53,09:53,01:00,02190,01170,00730,--,--,--,--,--,00730
2024-08-15,T102,深圳东,BJQ,上海南,SNH,08:55,11:08,02:13,--,--,--,--,01135,00745,--,00285,00285
2024-08-15,G7344,瑞安,RAH,上海虹桥,AOH,09:00,09:56,00:56,02190,01170,00730,--,--,--,--,--,00730
2024-08-15,G7636,宣城,ECH,上海虹桥,AOH,09:01,10:26,01:25,02320,01240,00780,--,--,--,--,--,00780
2024-08-15,G7330,温州南,VRH,上海虹桥,AOH,09:04,09:50,00:46,01760,00850,00530,--,--,--,--,--,00530
2024-08-15,G7330,温州南,VRH,上海虹桥,AOH,09:04,10:14,01:10,02190,01050,00650,--,--,--,--,--,00650
2024-08-15,G7194,黄山北,NYH,上海虹桥,AOH,09:13,10:05,00:52,--,01170,00730,--,--,--,--,--,00730
2024-08-15,G7504,温州南,VRH,上海虹桥,AOH,09:18,09:57,00:39,01530,00820,00510,--,--,--,--,--,00510
2024-08-15,G7504,温州南,VRH,上海虹桥,AOH,09:18,10:17,00:59,02190,01170,00730,--,--,--,--,--,00730
2024-08-15,G7764,江山,JUH,淮北,HRH,09:28,10:18,00:50,01940,00940,00580,--,--,--,--,--,00580
2024-08-15,G7764,江山,JUH,淮北,HRH,09:28,10:35,01:07,02420,01170,00730,--,--,--,--,--,00730
2024-08-15,G7524,衢州,QEH,连云港,UIH,09:32,10:18,00:46,01530,00820,00510,--,--,--,--,--,00510
2024-08-15,G7524,衢州,QEH,连云港,UIH,09:32,10:46,01:14,02190,01170,00730,--,--,--,--,--,00730
2024-08-15,K72,重庆北,CUW,上海南,SNH,09:39,11:38,01:59,--,--,--,--,01085,00705,--,00245,00245
2024-08-15,K72,重庆北,CUW,上海南,SNH,09:39,12:23,02:44,--,--,--,--,01135,00745,--,00285,00285
2024-08-15,G7392,南京南,NKH,上海虹桥,AOH,09:39,10:53,01:14,02320,01240,00780,--,--,--,--,--,00780
2024-08-15,G7532,三门县,OQH,上海虹桥,AOH,09:42,10:49,01:07,02190,01170,00730,--,--,--,--,--,00730
2024-08-15,G7572,平阳,ARH,淮南南,HNU,09:45,11:03,01:18,--,01450,00890,--,--,--,--,--,00890
2024-08-15,G7506,温州南,VRH,上海虹桥,AOH,09:53,10:38,00:45,02630,01290,00800,--,--,--,--,--,00800
2024-08-15,G7572,平阳,ARH,淮南南,HNU,09:57,11:03,01:06,--,01290,00800,--,--,--,--,--,00800
2024-08-15,G1228,苍南,CEH,沈阳北,SBT,10:01,11:08,01:07,02190,01170,00730,--,--,--,--,--,--
2024-08-15,G7316,黄山北,NYH,连云港,UIH,10:08,11:11,01:03,01940,00940,00580,--,--,--,--,--,00580
2024-08-15,G7316,黄山北,NYH,连云港,UIH,10:08,11:27,01:19,02420,01170,00730,--,--,--,--,--,00730
2024-08-15,K254,荆门,JMN,上海南,SNH,10:11,13:00,02:49,--,--,--,--,01135,00745,--,00285,00285
2024-08-15,G1690,南平市,NOS,上海虹桥,AOH,10:14,11:13,00:59,02190,01170,00730,--,--,--,--,--,00730
2024-08-15,D3324,景德镇北,JDG,上海虹桥,AOH,10:24,11:13,00:49,--,00660,00410,--,--,--,--,--,00410
2024-08-15,D3324,景德镇北,JDG,上海虹桥,AOH,10:24,11:36,01:12,--,00940,00590,--,--,--,--,--,00590
2024-08-15,G1382,南昌,NCG,上海虹桥,AOH,10:29,11:16,00:47,02420,01170,00730,--,--,--,--,--,00730
2024-08-15,G7586,温州南,VRH,连云港,UIH,10:43,11:43,01:00,--,01400,00870,--,--,--,--,--,00870
2024-08-15,G7332,苍南,CEH,上海虹桥,AOH,10:47,11:46,00:59,02190,01170,00730,--,--,--,--,--,00730
2024-08-15,K112,贵阳,GIW,上海南,SNH,10:48,12:39,01:51,--,--,--,--,01085,00705,--,00245,00245
2024-08-15,K112,贵阳,GIW,上海南,SNH,10:48,13:22,02:34,--,--,--,--,01135,00745,--,00285,00285
2024-08-15,G7364,温岭,VHH,上海虹桥,AOH,10:51,11:50,00:59,02190,01170,00730,--,--,--,--,--,00730
2024-08-15,G7576,苍南,CEH,六安,UAH,10:51,11:54,01:03,--,01300,00800,--,--,--,--,--,00800
2024-08-15,G7576,苍南,CEH,六安,UAH,10:51,12:10,01:19,--,01570,00970,--,--,--,--,--,00970
2024-08-15,G7368,乐清,UPH,上海虹桥,AOH,11:01,11:40,00:39,01530,00820,00510,--,--,--,--,--,00510
2024-08-15,G7368,乐清,UPH,上海虹桥,AOH,11:01,11:59,00:58,02190,01170,00730,--,--,--,--,--,00730
2024-08-15,G7576,苍南,CEH,六安,UAH,11:04,11:54,00:50,--,01130,00700,--,--,--,--,--,00700
2024-08-15,G7576,苍南,CEH,六安,UAH,11:04,12:10,01:06,--,01400,00870,--,--,--,--,--,00870
2024-08-15,G1342,长沙南,CWQ,上海虹桥,AOH,11:12,11:53,00:41,--,00820,00510,--,--,--,--,--,--
2024-08-15,G1342,长沙南,CWQ,上海虹桥,AOH,11:12,12:13,01:01,--,01170,00730,--,--,--,--,--,--
2024-08-15,G1384,南昌西,NXG,上海虹桥,AOH,11:23,12:16,00:53,02190,01170,00730,--,--,--,--,--,00730
2024-08-15,C414,开化,KHU,上海南,SNH,11:26,13:15,01:49,--,00740,00470,--,--,--,--,--,00470
2024-08-15,G7306,黄山北,NYH,盐城,AFH,11:27,12:31,01:04,--,01170,00730,--,--,--,--,--,00730
2024-08-15,G7508,台州西,TZH,徐州东,UUH,11:31,12:25,00:54,02630,01400,00870,--,--,--,--,--,00870
2024-08-15,G1632,厦门北,XKS,上海虹桥,AOH,11:40,12:34,00:54,02190,01170,00730,--,--,--,--,--,00730
2024-08-15,K740,昆明,KMM,上海南,SNH,11:41,13:52,02:11,--,--,--,--,01085,00705,--,00245,00245
2024-08-15,K740,昆明,KMM,上海南,SNH,11:41,14:26,02:45,--,--,--,--,01135,00745,--,00285,00285
2024-08-15,G7324,温州南,VRH,上海虹桥,AOH,11:44,12:43,00:59,02190,01170,00730,--,--,--,--,--,00730
2024-08-15,G1344,长沙南,CWQ,上海虹桥,AOH,11:52,12:51,00:59,--,01170,00730,--,--,--,--,--,--
2024-08-15,G7540,苍南,CEH,连云港,UIH,12:04,12:56,00:52,02630,01290,00800,--,--,--,--,--,00800
2024-08-15,G1386,赣州西,GOG,上海虹桥,AOH,12:07,12:50,00:43,01940,00940,00580,--,--,--,--,--,--
2024-08-15,G1386,赣州西,GOG,上海虹桥,AOH,12:07,13:06,00:59,02420,01170,00730,--,--,--,--,--,--
