日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,G172,杭州东,HGH,北京南,VNP,06:50,13:08,06:18,19150,09590,05940,--,--,--,--,--,--
2024-08-15,G32,杭州东,HGH,北京南,VNP,07:48,12:20,04:32,23130,10770,06740,--,--,--,--,--,--
2024-08-15,G174,台州西,TZH,北京南,VNP,08:49,14:40,05:51,20560,10340,06230,--,--,--,--,--,--
2024-08-15,G176,诸暨,ZDH,北京南,VNP,08:57,14:51,05:54,21840,10570,06450,--,--,--,--,--,--
2024-08-15,G2558,永康南,QUH,北京南,VNP,09:18,16:05,06:47,21580,11045,06620,--,--,--,--,--,--
2024-08-15,G178,江山,JUH,北京南,VNP,09:48,15:43,05:55,21840,10570,06450,--,--,--,--,--,--
2024-08-15,G180,宁海,NHH,北京南,VNP,10:32,17:17,06:45,20560,10340,06230,--,--,--,--,--,--
2024-08-15,G182,宁波,NGH,北京南,VNP,11:24,16:58,05:34,21840,10570,06450,--,--,--,--,--,--
2024-08-15,G170,南昌西,NXG,北京南,VNP,11:34,17:49,06:15,21840,10040,06050,--,--,--,--,--,--
2024-08-15,G184,温州南,VRH,北京南,VNP,11:39,18:12,06:33,20560,10340,06230,--,--,--,--,--,--
2024-08-15,G186,杭州东,HGH,北京南,VNP,12:40,19:01,06:21,21440,10070,06120,--,--,--,--,--,--
2024-08-15,G198,平潭,PIS,北京南,VNP,12:45,19:12,06:27,20160,09910,05940,--,--,--,--,--,--
2024-08-15,G34,杭州东,HGH,北京南,VNP,13:00,17:40,04:40,23130,10770,06740,--,--,--,--,--,--
2024-08-15,G190,苍南,CEH,北京南,VNP,13:29,19:58,06:29,20160,10210,06120,--,--,--,--,--,--
2024-08-15,G192,杭州东,HGH,北京南,VNP,14:41,20:26,05:45,21840,10340,06230,--,--,--,--,--,--
2024-08-15,G196,宁波,NGH,北京南,VNP,15:17,21:24,06:07,19550,09720,05860,--,--,--,--,--,--
2024-08-15,G194,嵊州新昌,SKU,北京南,VNP,15:43,21:38,05:55,20560,10040,06050,--,--,--,--,--,--
2024-08-15,K1110,杭州,HZH,北京丰台,FTP,16:10,11:58,19:48,--,--,--,--,04885,03105,--,01805,01805
2024-08-15,G158,杭州东,HGH,北京南,VNP,16:12,23:14,07:02,19900,09660,05780,--,--,--,--,--,--
2024-08-15,G36,宁波,NGH,北京南,VNP,16:54,21:28,04:34,23130,10770,06740,--,--,--,--,--,--
2024-08-15,D18,杭州,HZH,北京,BJP,17:25,07:07,13:42,--,--,03530,--,--,--,--,--,03530
2024-08-15,G38,温州南,VRH,北京南,VNP,18:00,22:30,04:30,20560,10340,06230,--,--,--,--,--,--
2024-08-15,G40,千岛湖,QDU,北京南,VNP,18:58,23:23,04:25,18330,09250,05550,--,--,--,--,--,--
2024-08-15,D12,杭州,HZH,北京,BJP,19:48,09:38,13:50,--,--,03530,--,--,--,--,--,03530
