日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,D3123,杭州东,HGH,广州东,GGQ,07:20,18:59,11:39,--,--,06460,--,--,--,--,--,--
2024-08-15,G1403,杭州东,HGH,广州南,IZQ,07:50,15:19,07:29,22730,11870,07190,--,--,--,--,--,--
2024-08-15,G817,上海虹桥,AOH,广州南,IZQ,08:47,14:39,05:52,26190,13320,08320,--,--,--,--,--,--
2024-08-15,G3073,杭州西,HVU,广州东,GGQ,09:11,15:34,06:23,24310,11730,07340,--,--,--,--,--,--
2024-08-15,G3073,杭州西,HVU,广州东,GGQ,09:11,15:56,06:45,25130,12100,07650,--,--,--,--,--,--
2024-08-15,G3075,南京南,NKH,广州东,GGQ,09:16,16:37,07:21,23670,11440,07160,--,--,--,--,--,--
2024-08-15,G3075,南京南,NKH,广州东,GGQ,09:16,17:01,07:45,24490,11810,07470,--,--,--,--,--,--
2024-08-15,G1301,南通,NUH,珠海,ZHQ,11:27,19:01,07:34,25220,12800,07990,--,--,--,--,--,--
2024-08-15,G1182,杭州西,HVU,广州南,IZQ,11:36,20:37,09:01,26010,12610,07880,--,--,--,--,--,--
2024-08-15,T169,上海南,SNH,广州,GZQ,13:35,04:51,15:16,--,--,--,--,05085,02965,--,01735,01735
2024-08-15,G3087,杭州西,HVU,广州东,GGQ,16:19,22:43,06:24,24440,11790,07380,--,--,--,--,--,--
2024-08-15,G3087,杭州西,HVU,广州东,GGQ,16:19,23:08,06:49,25260,12160,07690,--,--,--,--,--,--
2024-08-15,G819,上海虹桥,AOH,广州南,IZQ,16:24,22:30,06:06,25960,13330,08230,--,--,--,--,--,--
2024-08-15,K212,宁波,NGH,广州白云,GBA,17:39,14:03,20:24,--,--,--,--,05195,02965,--,01735,01735
2024-08-15,K209,宁波,NGH,广州白云,GBA,18:30,14:03,19:33,--,--,--,--,05195,02965,--,01735,01735
2024-08-15,K511,上海南,SNH,海口,VUQ,19:49,14:56,19:07,--,--,--,--,05745,03225,--,01895,01895
2024-08-15,K527,南京,NJH,广州白云,GBA,21:23,17:20,19:57,--,--,--,--,05085,02965,--,01735,01735
