日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,D3123,杭州东,HGH,广州东,GGQ,07:20,17:33,10:13,--,--,05630,--,--,--,--,--,--
2024-08-15,D3111,杭州东,HGH,深圳北,IOQ,07:30,18:27,10:57,--,--,05220,11200,--,--,--,--,05220
2024-08-15,G997,上海虹桥,AOH,深圳,SZQ,08:02,14:05,06:03,25190,12250,07615,--,--,--,--,--,--
2024-08-15,D2287,上海虹桥,AOH,深圳北,IOQ,08:12,18:16,10:04,--,09280,05800,--,--,--,--,--,05800
2024-08-15,D3307,杭州东,HGH,深圳北,IOQ,08:21,18:36,10:15,--,--,05570,--,--,--,--,--,05570
2024-08-15,D2287,上海虹桥,AOH,深圳北,IOQ,08:23,18:16,09:53,--,09180,05740,--,--,--,--,--,05740
2024-08-15,D377,上海虹桥,AOH,深圳北,IOQ,09:08,19:03,09:55,--,09280,05800,--,--,--,--,--,05800
2024-08-15,D2281,南京南,NKH,深圳北,IOQ,10:13,20:15,10:02,--,09280,05800,--,--,--,--,--,05800
2024-08-15,D2113,南京南,NKH,深圳北,IOQ,10:18,19:18,09:00,--,08990,05610,--,--,--,--,--,05610
2024-08-15,D2289,南通,NUH,深圳北,IOQ,10:18,20:19,10:01,--,08820,05500,--,--,--,--,--,05500
2024-08-15,G1665,徐州东,UUH,深圳,SZQ,10:45,18:09,07:24,24340,12250,07615,--,--,--,--,--,--
2024-08-15,D3107,上海虹桥,AOH,深圳北,IOQ,11:21,21:25,10:04,--,--,05150,13100,--,--,--,--,05150
2024-08-15,D3125,淮安东,HAU,深圳北,IOQ,11:32,21:20,09:48,--,08920,05570,--,--,--,--,--,05570
2024-08-15,D2283,南通,NUH,深圳北,IOQ,12:23,22:26,10:03,--,08680,05420,--,--,--,--,--,05420
2024-08-15,D2293,南京南,NKH,深圳北,IOQ,12:47,22:33,09:46,--,09280,05800,--,--,--,--,--,05800
2024-08-15,T211,上海南,SNH,深圳东,BJQ,13:42,06:10,16:28,--,--,--,--,05565,03555,--,02125,02125
2024-08-15,G99,上海虹桥,AOH,香港西九龙,XJA,15:01,21:31,06:30,24960,12160,07465,--,--,--,--,--,--
2024-08-15,T101,上海南,SNH,深圳东,BJQ,15:11,07:27,16:16,--,--,--,--,05565,03555,--,02125,02125
2024-08-15,G697,杭州东,HGH,深圳北,IOQ,16:49,22:58,06:09,24110,11860,07195,--,--,--,--,--,--
