日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,K528,广州白云,GBA,南京,NJH,01:59,05:38,03:39,--,--,--,--,01325,00875,--,00415,00415
2024-08-15,K470,赣州,GZG,无锡,WXH,06:28,11:28,05:00,--,--,--,--,01325,00875,--,00415,00415
2024-08-15,K4336,九江,JJG,苏州,SZH,06:45,10:50,04:05,--,--,--,--,01325,00875,--,00415,00415
2024-08-15,G1866,宁波,NGH,郑州东,ZAF,07:26,09:09,01:43,03530,01840,01140,--,--,--,--,--,--
2024-08-15,G7492,金华,JBH,太湖南,TAU,07:31,09:36,02:05,03660,01910,01190,--,--,--,--,--,01190
2024-08-15,G7372,江山,JUH,阜阳西,FXU,08:07,09:50,01:43,03480,01820,01140,--,--,--,--,--,01140
2024-08-15,G7372,江山,JUH,阜阳西,FXU,08:07,10:03,01:56,03660,01910,01190,--,--,--,--,--,01190
2024-08-15,G7764,江山,JUH,淮北,HRH,09:28,11:02,01:34,03870,01860,01160,--,--,--,--,--,01160
2024-08-15,G7572,平阳,ARH,淮南南,HNU,09:45,11:40,01:55,--,02130,01310,--,--,--,--,--,01310
2024-08-15,G7572,平阳,ARH,淮南南,HNU,09:57,11:40,01:43,--,01970,01220,--,--,--,--,--,01220
2024-08-15,G1228,苍南,CEH,沈阳北,SBT,10:01,11:58,01:57,03640,01840,01140,--,--,--,--,--,--
2024-08-15,K808,怀化,HHQ,无锡,WXH,10:05,14:34,04:29,--,--,--,--,01325,00875,--,00415,00415
2024-08-15,G7316,黄山北,NYH,连云港,UIH,10:08,11:55,01:47,03890,01910,01190,--,--,--,--,--,01190
2024-08-15,T112,杭州,HZH,兰州,LZJ,10:17,13:02,02:45,--,--,--,--,01295,00865,--,00405,00405
2024-08-15,G7586,温州南,VRH,连云港,UIH,10:43,12:15,01:32,--,02140,01330,--,--,--,--,--,01330
2024-08-15,G7576,苍南,CEH,六安,UAH,10:51,12:40,01:49,--,02310,01430,--,--,--,--,--,01430
2024-08-15,G7576,苍南,CEH,六安,UAH,11:04,12:40,01:36,--,02140,01330,--,--,--,--,--,01330
2024-08-15,K1806,杭州,HZH,银川,YIJ,11:28,15:48,04:20,--,--,--,--,01295,00865,--,00405,00405
2024-08-15,G7508,台州西,TZH,徐州东,UUH,11:31,13:05,01:34,04100,02140,01330,--,--,--,--,--,01330
2024-08-15,G1584,南昌,NCG,无锡东,WGH,13:07,14:33,01:26,03680,01820,01105,--,--,--,--,--,01105
2024-08-15,G7534,温岭,VHH,扬州东,YDU,13:29,14:49,01:20,03970,02080,01290,--,--,--,--,--,01290
2024-08-15,G7390,衢州,QEH,连云港,UIH,13:34,14:55,01:21,--,02140,01330,--,--,--,--,--,01330
2024-08-15,Z176,杭州,HZH,哈尔滨西,VAB,13:35,16:13,02:38,--,--,--,02275,01295,00865,--,00405,00405
2024-08-15,K48,杭州,HZH,齐齐哈尔,QHX,13:43,17:54,04:11,--,--,--,--,01295,00865,--,00405,00405
2024-08-15,K4512,金华,JBH,聊城,UCK,14:01,17:30,03:29,--,--,--,--,01295,00865,--,00405,00405
2024-08-15,D3142,龙岩,LYS,南京南,NKH,14:56,16:36,01:40,--,01440,00900,--,--,--,--,--,00900
2024-08-15,G7592,温州南,VRH,宿松东,SSU,15:01,16:56,01:55,03970,01970,01220,--,--,--,--,--,01220
2024-08-15,G7376,江山,JUH,合肥南,ENH,15:40,17:00,01:20,03810,02000,01250,--,--,--,--,--,01250
2024-08-15,G7376,江山,JUH,合肥南,ENH,15:40,17:08,01:28,03970,02080,01290,--,--,--,--,--,01290
2024-08-15,G158,杭州东,HGH,北京南,VNP,16:12,17:43,01:31,03600,01850,01140,--,--,--,--,--,--
2024-08-15,D3136,赣州,GZG,南京南,NKH,16:40,18:27,01:47,--,01380,00860,--,--,--,--,--,00860
2024-08-15,D3136,赣州,GZG,南京南,NKH,16:40,18:44,02:04,--,01440,00900,--,--,--,--,--,00900
2024-08-15,D126,杭州,HZH,西安,XAY,16:43,19:14,02:31,--,--,00460,--,--,--,--,--,00460
2024-08-15,G7792,苍南,CEH,连云港,UIH,16:54,18:59,02:05,03770,01980,01210,--,--,--,--,--,01210
2024-08-15,Z4282,杭州,HZH,包头,BTC,16:55,20:43,03:48,--,--,--,--,01295,00865,--,00405,00405
2024-08-15,G7192,黄山北,NYH,徐州东,UUH,17:02,18:27,01:25,03810,01880,01160,--,--,--,--,--,01160
2024-08-15,G7792,苍南,CEH,连云港,UIH,17:06,18:59,01:53,03450,01820,01120,--,--,--,--,--,01120
2024-08-15,G7520,宁波,NGH,南京,NJH,17:24,19:06,01:42,--,02020,01250,--,--,--,--,--,01250
2024-08-15,G7590,宁波,NGH,徐州东,UUH,17:39,19:30,01:51,03370,01760,01090,--,--,--,--,--,01090
2024-08-15,G7310,丽水,USH,南京南,NKH,17:46,19:36,01:50,03410,01730,01080,--,--,--,--,--,01080
2024-08-15,G7584,宁波,NGH,徐州东,UUH,17:53,19:55,02:02,--,01790,01110,--,--,--,--,--,01110
2024-08-15,G7432,苍南,CEH,合肥南,ENH,17:55,19:45,01:50,03720,01970,01220,--,--,--,--,--,01220
2024-08-15,K336,宁波,NGH,长春,CCT,17:55,22:49,04:54,--,--,--,--,01325,00875,--,00415,00415
2024-08-15,G1510,三明,SVS,南京南,NKH,18:01,19:39,01:38,03370,01760,01090,--,--,--,--,--,--
2024-08-15,G7432,苍南,CEH,合肥南,ENH,18:09,19:45,01:36,03370,01790,01110,--,--,--,--,--,01110
2024-08-15,G1378,昆明南,KOM,常州北,ESH,18:28,19:53,01:25,03600,01760,01090,--,--,--,--,--,--
2024-08-15,G7550,苍南,CEH,连云港,UIH,18:30,20:30,02:00,04290,02140,01320,--,--,--,--,--,01320
