日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,D2222,杭州东,HGH,成都东,ICW,08:08,19:40,11:32,--,09170,05735,--,--,--,--,--,05735
2024-08-15,D656,宁波,NGH,重庆北,CUW,08:19,20:33,12:14,--,09220,05760,--,--,--,--,--,05760
2024-08-15,D2262,杭州东,HGH,成都东,ICW,09:07,20:48,11:41,--,--,05255,18200,--,--,--,--,05255
2024-08-15,D2272,黄山北,NYH,重庆北,CUW,09:25,21:12,11:47,--,09250,05785,--,--,--,--,--,05785
2024-08-15,G1337,上海虹桥,AOH,重庆西,CXW,09:26,19:59,10:33,--,13305,07965,--,--,--,--,--,--
2024-08-15,D2246,杭州东,HGH,重庆北,CUW,10:20,21:40,11:20,--,--,05165,16800,--,--,--,--,05165
2024-08-15,G1333,上海虹桥,AOH,重庆西,CXW,12:39,23:03,10:24,24610,13145,07865,--,--,--,--,--,--
2024-08-15,K1152,杭州,HZH,重庆北,CUW,13:55,14:39,24:44,--,--,--,--,05560,03530,--,02060,02060
2024-08-15,K71,上海南,SNH,重庆北,CUW,16:51,15:32,22:41,--,--,--,--,05560,03530,--,02060,02060
2024-08-15,Z257,上海南,SNH,重庆北,CUW,21:37,12:46,15:09,--,--,--,--,05300,03370,--,--,--
