日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,G2790,深圳,SZQ,上海虹桥,AOH,06:40,16:23,09:43,29200,14200,08975,--,--,--,--,--,--
2024-08-15,D3126,深圳北,IOQ,淮安东,HAU,07:06,18:44,11:38,--,09860,06160,--,--,--,--,--,06160
2024-08-15,D388,东莞南,DNA,上海虹桥,AOH,08:22,19:57,11:35,--,10220,06390,--,--,--,--,--,06390
2024-08-15,D2290,深圳北,IOQ,南通,NUH,09:14,20:38,11:24,--,09770,06090,--,--,--,--,--,06090
2024-08-15,D2282,深圳北,IOQ,南京南,NKH,09:40,20:57,11:17,--,09940,06210,--,--,--,--,--,06210
2024-08-15,D2282,深圳北,IOQ,南京南,NKH,09:40,21:19,11:39,--,10220,06390,--,--,--,--,--,06390
2024-08-15,D2284,深圳北,IOQ,南通,NUH,10:31,21:59,11:28,--,09860,06160,--,--,--,--,--,06160
2024-08-15,D2424,东莞南,DNA,上海虹桥,AOH,11:16,22:32,11:16,--,10220,06390,--,--,--,--,--,06390
2024-08-15,D3108,深圳北,IOQ,上海虹桥,AOH,11:32,22:35,11:03,--,--,05690,14300,--,--,--,--,05690
2024-08-15,G100,香港西九龙,XJA,上海虹桥,AOH,11:59,19:25,07:26,28160,13940,08715,--,--,--,--,--,--
2024-08-15,G2786,深圳北,IOQ,上海,SHH,13:02,22:59,09:57,28240,13560,08465,--,--,--,--,--,--
2024-08-15,G998,深圳,SZQ,上海虹桥,AOH,14:30,21:25,06:55,27380,13420,08345,--,--,--,--,--,--
2024-08-15,T212,深圳东,BJQ,上海南,SNH,15:50,10:06,18:16,--,--,--,--,06130,03910,--,02340,02340
2024-08-15,T102,深圳东,BJQ,上海南,SNH,16:10,11:08,18:58,--,--,--,--,06130,03910,--,02340,02340
