日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,G834,深圳北,IOQ,西安北,EAY,06:10,06:46,00:36,01995,00995,00745,--,--,--,--,--,--
2024-08-15,G834,深圳北,IOQ,西安北,EAY,06:10,07:08,00:58,02675,01305,00945,--,--,--,--,--,--
2024-08-15,G6202,深圳北,IOQ,广州南,IZQ,06:17,07:00,00:43,01995,00995,00745,--,--,--,--,--,00745
2024-08-15,C8036,深圳,SZQ,广州白云,GBA,06:21,08:17,01:56,--,00995,00795,--,--,--,--,--,00795
2024-08-15,C8036,深圳,SZQ,广州白云,GBA,06:21,07:24,01:03,--,00730,00640,--,--,--,--,--,00640
2024-08-15,C8036,深圳,SZQ,广州白云,GBA,06:21,07:44,01:23,--,00995,00795,--,--,--,--,--,00795
2024-08-15,C8036,深圳,SZQ,广州白云,GBA,06:21,07:58,01:37,--,00995,00795,--,--,--,--,--,00795
2024-08-15,G1002,深圳北,IOQ,武汉,WHN,06:36,07:05,00:29,01995,00995,00745,--,--,--,--,--,00745
2024-08-15,G336,福田,NZQ,北京西,BXP,06:40,07:18,00:38,02150,01080,00820,--,--,--,--,--,--
2024-08-15,G6058,深圳北,IOQ,张家界西,JXA,06:54,07:23,00:29,01995,00995,00745,--,--,--,--,--,00745
2024-08-15,C8052,福田,NZQ,广州白云,GBA,06:58,08:50,01:52,--,01230,00980,--,--,--,--,--,00980
2024-08-15,C8052,福田,NZQ,广州白云,GBA,06:58,08:23,01:25,--,01230,00980,--,--,--,--,--,00980
2024-08-15,C8052,福田,NZQ,广州白云,GBA,06:58,08:37,01:39,--,01230,00980,--,--,--,--,--,00980
2024-08-15,G2956,深圳北,IOQ,百色,BIZ,06:59,07:28,00:29,01995,00995,00745,--,--,--,--,--,--
2024-08-15,G2942,深圳北,IOQ,成都东,ICW,07:04,07:33,00:29,01995,00995,00745,--,--,--,--,--,00745
2024-08-15,G280,深圳北,IOQ,济南西,JGK,07:09,07:38,00:29,01995,00995,00745,--,--,--,--,--,--
2024-08-15,C8052,福田,NZQ,广州白云,GBA,07:10,08:50,01:40,--,01030,00830,--,--,--,--,--,00830
2024-08-15,C8002,深圳,SZQ,广州东,GGQ,07:10,08:14,01:04,--,00995,00795,--,--,--,--,--,00795
2024-08-15,C8052,福田,NZQ,广州白云,GBA,07:10,08:23,01:13,--,01030,00830,--,--,--,--,--,00830
2024-08-15,C8052,福田,NZQ,广州白云,GBA,07:10,08:37,01:27,--,01030,00830,--,--,--,--,--,00830
2024-08-15,C7006,深圳,SZQ,广州东,GGQ,07:16,08:33,01:17,--,00995,00795,--,--,--,--,--,00795
2024-08-15,G1312,深圳北,IOQ,连云港,UIH,07:20,07:56,00:36,01995,00995,00745,--,--,--,--,--,00745
2024-08-15,G6256,深圳北,IOQ,广州南,IZQ,07:25,08:02,00:37,01995,00995,00745,--,--,--,--,--,00745
2024-08-15,G6090,深圳坪山,IFQ,怀化南,KAQ,07:30,08:07,00:37,01995,00995,00745,--,--,--,--,--,00745
2024-08-15,C7018,深圳,SZQ,广州东,GGQ,07:30,08:37,01:07,--,00730,00640,--,--,--,--,--,00640
2024-08-15,C7018,深圳,SZQ,广州东,GGQ,07:30,08:58,01:28,--,00995,00795,--,--,--,--,--,00795
2024-08-15,G2896,深圳北,IOQ,桂林北,GBZ,07:45,08:21,00:36,01995,00995,00745,--,--,--,--,--,--
2024-08-15,C7002,深圳,SZQ,广州东,GGQ,07:47,08:51,01:04,--,00730,00640,--,--,--,--,--,00640
2024-08-15,C7002,深圳,SZQ,广州东,GGQ,07:47,09:10,01:23,--,00995,00795,--,--,--,--,--,00795
2024-08-15,G872,深圳坪山,IFQ,武汉,WHN,07:50,08:26,00:36,01995,00995,00745,--,--,--,--,--,00745
2024-08-15,G82,深圳北,IOQ,北京西,BXP,07:55,08:31,00:36,01995,00995,00745,--,--,--,--,--,00745
2024-08-15,C8058,深圳,SZQ,广州白云,GBA,07:57,09:44,01:47,02090,00995,00795,--,--,--,--,--,00795
2024-08-15,C8058,深圳,SZQ,广州白云,GBA,07:57,09:58,02:01,02090,00995,00795,--,--,--,--,--,00795
2024-08-15,C8058,深圳,SZQ,广州白云,GBA,07:57,09:00,01:03,01680,00730,00640,--,--,--,--,--,00640
2024-08-15,C8058,深圳,SZQ,广州白云,GBA,07:57,09:28,01:31,02090,00995,00795,--,--,--,--,--,00795
2024-08-15,G6566,香港西九龙,XJA,广州东,GGQ,07:58,09:22,01:24,--,01090,00870,--,--,--,--,--,--
2024-08-15,K1348,深圳,SZQ,西安,XAY,08:00,10:01,02:01,--,--,--,--,01035,00695,--,00235,00235
2024-08-15,G2902,深圳北,IOQ,桂林北,GBZ,08:00,08:36,00:36,01995,00995,00745,--,--,--,--,--,00745
2024-08-15,G1310,深圳北,IOQ,徐州东,UUH,08:05,08:41,00:36,01995,00995,00745,--,--,--,--,--,00745
2024-08-15,G2966,汕尾,OGQ,昆明南,KOM,08:10,08:46,00:36,01995,00995,00745,--,--,--,--,--,00745
2024-08-15,G2138,深圳北,IOQ,铜仁,RDQ,08:14,08:50,00:36,01995,00995,00745,--,--,--,--,--,00745
2024-08-15,C7014,深圳,SZQ,广州东,GGQ,08:14,09:35,01:21,--,00995,00795,--,--,--,--,--,00795
2024-08-15,G1004,深圳北,IOQ,武汉,WHN,08:19,08:55,00:36,01995,00995,00745,--,--,--,--,--,00745
2024-08-15,G1004,深圳北,IOQ,武汉,WHN,08:19,09:19,01:00,02675,01335,00965,--,--,--,--,--,00965
2024-08-15,G2944,深圳北,IOQ,重庆西,CXW,08:24,09:00,00:36,01995,00995,00745,--,--,--,--,--,00745
2024-08-15,C7036,深圳,SZQ,广州东,GGQ,08:27,09:36,01:09,--,00730,00640,--,--,--,--,--,00640
2024-08-15,C7036,深圳,SZQ,广州东,GGQ,08:27,09:56,01:29,--,00995,00795,--,--,--,--,--,00795
2024-08-15,G6552,香港西九龙,XJA,广州东,GGQ,08:28,09:43,01:15,--,01090,00870,--,--,--,--,--,--
2024-08-15,G1186,深圳北,IOQ,焦作西,JIF,08:29,09:05,00:36,01995,00995,00745,--,--,--,--,--,--
2024-08-15,G6094,深圳北,IOQ,邵阳,SYQ,08:34,09:10,00:36,01995,00995,00745,--,--,--,--,--,00745
2024-08-15,C8022,深圳,SZQ,广州白云,GBA,08:38,10:20,01:42,--,00995,00795,--,--,--,--,--,00795
2024-08-15,C8022,深圳,SZQ,广州白云,GBA,08:38,10:35,01:57,--,00995,00795,--,--,--,--,--,00795
2024-08-15,C8022,深圳,SZQ,广州白云,GBA,08:38,09:45,01:07,--,00730,00640,--,--,--,--,--,00640
