日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,D3126,深圳北,IOQ,淮安东,HAU,07:06,17:15,10:09,--,08820,05510,--,--,--,--,--,05510
2024-08-15,D3126,深圳北,IOQ,淮安东,HAU,07:06,17:27,10:21,--,08920,05570,--,--,--,--,--,05570
2024-08-15,D2294,深圳北,IOQ,南京南,NKH,08:12,18:16,10:04,--,09180,05740,--,--,--,--,--,05740
2024-08-15,D2294,深圳北,IOQ,南京南,NKH,08:12,18:28,10:16,--,09280,05800,--,--,--,--,--,05800
2024-08-15,D388,东莞南,DNA,上海虹桥,AOH,08:22,18:50,10:28,--,09280,05800,--,--,--,--,--,05800
2024-08-15,D2290,深圳北,IOQ,南通,NUH,09:14,19:11,09:57,--,08730,05440,--,--,--,--,--,05440
2024-08-15,D2290,深圳北,IOQ,南通,NUH,09:14,19:36,10:22,--,08820,05500,--,--,--,--,--,05500
2024-08-15,G698,深圳北,IOQ,杭州东,HGH,09:36,15:53,06:17,24960,12160,07465,--,--,--,--,--,--
2024-08-15,D2282,深圳北,IOQ,南京南,NKH,09:40,19:58,10:18,--,09280,05800,--,--,--,--,--,05800
2024-08-15,G1666,深圳,SZQ,徐州东,UUH,10:05,17:17,07:12,25190,12250,07615,--,--,--,--,--,--
2024-08-15,D2284,深圳北,IOQ,南通,NUH,10:31,20:57,10:26,--,08920,05570,--,--,--,--,--,05570
2024-08-15,D2114,深圳北,IOQ,南京南,NKH,11:01,20:47,09:46,--,08940,05580,--,--,--,--,--,05580
2024-08-15,D2424,东莞南,DNA,上海虹桥,AOH,11:16,21:12,09:56,--,09280,05800,--,--,--,--,--,05800
2024-08-15,D3108,深圳北,IOQ,上海虹桥,AOH,11:32,21:34,10:02,--,--,05150,13100,--,--,--,--,05150
2024-08-15,D3308,深圳北,IOQ,杭州东,HGH,11:37,21:58,10:21,--,--,05800,--,--,--,--,--,05800
2024-08-15,D3112,深圳北,IOQ,杭州东,HGH,11:53,22:15,10:22,--,--,05220,11200,--,--,--,--,05220
2024-08-15,G100,香港西九龙,XJA,上海虹桥,AOH,11:59,18:35,06:36,25740,12770,07985,--,--,--,--,--,--
2024-08-15,D3124,广州东,GGQ,杭州东,HGH,12:13,22:28,10:15,--,--,05630,--,--,--,--,--,05630
2024-08-15,G998,深圳,SZQ,上海虹桥,AOH,14:30,20:36,06:06,25190,12250,07615,--,--,--,--,--,--
2024-08-15,T212,深圳东,BJQ,上海南,SNH,15:50,07:49,15:59,--,--,--,--,05565,03555,--,02125,02125
2024-08-15,T102,深圳东,BJQ,上海南,SNH,16:10,08:49,16:39,--,--,--,--,05565,03555,--,02125,02125
