日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,K4915,乌鲁木齐,WAR,上海,SHH,03:04,04:34,01:30,--,--,--,--,00905,00605,--,00145,00145
2024-08-15,K8351,连云港东,UKH,杭州,HZH,03:23,04:38,01:15,--,--,--,--,00965,00625,--,00165,00165
2024-08-15,K1047,漯河,LON,上海,SHH,03:41,05:06,01:25,--,--,--,--,00905,00605,--,00145,00145
2024-08-15,K1555,南宁,NNZ,上海,SHH,04:06,05:12,01:06,--,--,--,--,00905,00605,--,00145,00145
2024-08-15,K2185,西宁,XNO,上海,SHH,04:12,05:33,01:21,--,--,--,--,00905,00605,--,00145,00145
2024-08-15,K47,齐齐哈尔,QHX,杭州,HZH,04:24,06:01,01:37,--,--,--,--,00965,00625,--,00165,00165
2024-08-15,K8481,阜阳,FYH,上海,SHH,04:39,06:03,01:24,--,--,--,--,00905,00605,--,00145,00145
2024-08-15,D91,西安,XAY,上海,SHH,05:17,06:13,00:56,--,--,00200,--,--,--,--,--,00200
2024-08-15,K151,郑州,ZZF,上海,SHH,05:29,06:39,01:10,--,--,--,--,00905,00605,--,00145,00145
2024-08-15,1461,北京,BJP,上海,SHH,05:41,06:45,01:04,--,--,--,--,00885,00585,--,00125,00125
2024-08-15,K8361,阜阳,FYH,上海,SHH,05:59,08:09,02:10,--,--,--,--,00905,00605,--,00145,00145
2024-08-15,K233,石家庄,SJP,上海,SHH,06:12,09:05,02:53,--,--,--,--,00905,00605,--,00145,00145
2024-08-15,K849,平顶山,PEN,上海,SHH,06:18,08:48,02:30,--,--,--,--,00905,00605,--,00145,00145
2024-08-15,G7213,苏州,SZH,上海,SHH,06:40,07:20,00:40,01220,00560,00350,--,--,--,--,--,00350
2024-08-15,G7203,无锡,WXH,上海,SHH,06:52,07:25,00:33,01220,00560,00350,--,--,--,--,--,00350
2024-08-15,D9,北京南,VNP,上海,SHH,06:52,07:46,00:54,--,--,00200,--,--,--,--,--,--
2024-08-15,G7199,无锡东,WGH,上海虹桥,AOH,06:57,07:28,00:31,01180,00590,00360,--,--,--,--,--,00360
2024-08-15,G7203,无锡,WXH,上海,SHH,07:02,07:25,00:23,01070,00490,00310,--,--,--,--,--,00310
2024-08-15,G7029,南京,NJH,上海,SHH,07:03,07:30,00:27,--,00560,00350,--,--,--,--,--,00350
2024-08-15,G7211,常州,CZH,上海,SHH,07:10,07:42,00:32,--,00560,00350,--,--,--,--,--,00350
2024-08-15,G7503,苏州,SZH,台州,TEU,07:15,07:59,00:44,01220,00620,00380,--,--,--,--,--,00380
2024-08-15,G7209,苏州,SZH,上海,SHH,07:25,08:07,00:42,01340,00680,00420,--,--,--,--,--,00420
2024-08-15,G7179,南京南,NKH,上海虹桥,AOH,07:27,07:58,00:31,01180,00620,00380,--,--,--,--,--,00380
2024-08-15,G7503,苏州,SZH,台州,TEU,07:28,07:59,00:31,01070,00540,00340,--,--,--,--,--,00340
2024-08-15,G7209,苏州,SZH,上海,SHH,07:36,08:07,00:31,01180,00600,00380,--,--,--,--,--,00380
2024-08-15,G7101,南京,NJH,上海虹桥,AOH,07:38,08:19,00:41,--,00550,00340,--,--,--,--,--,00340
2024-08-15,G8279,扬州东,YDU,上海,SHH,07:42,08:18,00:36,--,00680,00420,--,--,--,--,--,00420
2024-08-15,K1101,安阳,AYF,上海,SHH,07:45,10:20,02:35,--,--,--,--,00905,00605,--,00145,00145
2024-08-15,G7101,南京,NJH,上海虹桥,AOH,07:47,08:19,00:32,--,00490,00300,--,--,--,--,--,00300
2024-08-15,G7201,常州,CZH,上海,SHH,07:52,08:21,00:29,01150,00580,00360,--,--,--,--,--,00360
2024-08-15,G7201,常州,CZH,上海,SHH,07:52,08:31,00:39,01220,00620,00380,--,--,--,--,--,00380
2024-08-15,G7035,南京,NJH,上海,SHH,07:57,08:35,00:38,--,00490,00300,--,--,--,--,--,00300
2024-08-15,D2281,南京南,NKH,深圳北,IOQ,08:02,08:36,00:34,--,00500,00310,--,--,--,--,--,00310
2024-08-15,D2281,南京南,NKH,深圳北,IOQ,08:02,08:55,00:53,--,00680,00420,--,--,--,--,--,00420
2024-08-15,G1509,南京南,NKH,三明,SVS,08:12,08:35,00:23,01180,00620,00380,--,--,--,--,--,--
2024-08-15,G7001,南京,NJH,上海,SHH,08:14,08:39,00:25,01220,00620,00380,--,--,--,--,--,00380
