日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,G4,苏州北,OHH,北京南,VNP,07:24,11:40,04:16,21940,10030,06270,--,--,--,--,--,--
2024-08-15,G112,上海虹桥,AOH,北京南,VNP,08:31,14:07,05:36,18910,09520,05670,--,--,--,--,--,--
2024-08-15,G116,上海虹桥,AOH,北京南,VNP,09:53,15:22,05:29,18910,09520,05670,--,--,--,--,--,--
2024-08-15,G118,上海虹桥,AOH,北京南,VNP,10:08,15:47,05:39,18910,09520,05670,--,--,--,--,--,--
2024-08-15,G124,上海虹桥,AOH,北京南,VNP,11:09,16:43,05:34,20430,09790,05930,--,--,--,--,--,--
2024-08-15,G128,上海,SHH,北京南,VNP,11:45,17:22,05:37,20430,09790,05930,--,--,--,--,--,--
2024-08-15,G130,上海虹桥,AOH,北京南,VNP,12:41,18:21,05:40,20430,09520,05670,--,--,--,--,--,--
2024-08-15,G132,上海虹桥,AOH,北京南,VNP,12:46,18:25,05:39,18910,09520,05670,--,--,--,--,--,--
2024-08-15,G136,上海虹桥,AOH,北京南,VNP,13:12,18:49,05:37,20430,09520,05670,--,--,--,--,--,--
2024-08-15,G16,上海,SHH,北京南,VNP,13:22,17:36,04:14,21940,10030,06270,--,--,--,--,--,--
2024-08-15,1462,上海,SHH,北京,BJP,13:25,10:46,21:21,--,--,--,--,04305,02685,--,01485,01485
2024-08-15,G142,上海虹桥,AOH,北京南,VNP,14:47,20:10,05:23,20430,09520,05670,--,--,--,--,--,--
2024-08-15,G150,上海虹桥,AOH,北京南,VNP,16:29,21:56,05:27,16540,08370,04980,--,--,--,--,--,--
2024-08-15,G24,上海虹桥,AOH,北京南,VNP,17:23,21:33,04:10,21940,10030,06270,--,--,--,--,--,--
2024-08-15,T110,上海,SHH,北京,BJP,17:25,08:32,15:07,--,--,--,--,04505,02885,--,01685,01685
2024-08-15,G156,上海虹桥,AOH,北京南,VNP,17:41,23:08,05:27,16540,08370,04980,--,--,--,--,--,--
2024-08-15,G158,杭州东,HGH,北京南,VNP,17:45,23:14,05:29,16540,07920,04720,--,--,--,--,--,--
2024-08-15,G160,上海虹桥,AOH,北京南,VNP,18:06,23:42,05:36,16540,08370,04980,--,--,--,--,--,--
2024-08-15,G162,上海虹桥,AOH,北京南,VNP,18:12,23:51,05:39,16540,08370,04980,--,--,--,--,--,--
2024-08-15,D10,上海,SHH,北京南,VNP,22:10,09:24,11:14,--,--,03170,--,--,--,--,--,03170
