日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,K1805,银川,YIJ,杭州,HZH,02:29,06:40,04:11,--,--,--,--,01325,00875,--,00415,00415
2024-08-15,Z175,哈尔滨西,VAB,杭州,HZH,02:36,05:50,03:14,--,--,--,02275,01295,00865,--,00405,00405
2024-08-15,T135,济南,JNK,宁波,NGH,02:55,06:46,03:51,--,--,--,--,01325,00875,--,00415,00415
2024-08-15,K4511,聊城,UCK,金华,JBH,03:11,06:01,02:50,--,--,--,--,01295,00865,--,00405,00405
2024-08-15,K8351,连云港东,UKH,杭州,HZH,03:23,06:28,03:05,--,--,--,--,01295,00865,--,00405,00405
2024-08-15,K335,长春,CCT,宁波,NGH,03:29,07:27,03:58,--,--,--,--,01355,00895,--,00435,00435
2024-08-15,K1091,徐州,XCH,福州,FZS,04:00,10:03,06:03,--,--,--,--,--,00865,--,00405,00405
2024-08-15,K47,齐齐哈尔,QHX,杭州,HZH,04:24,09:12,04:48,--,--,--,--,01295,00865,--,00405,00405
2024-08-15,D181,青岛北,QHK,杭州,HZH,06:43,09:30,02:47,--,--,00550,--,--,--,--,--,00550
2024-08-15,Z4281,包头,BTC,杭州,HZH,07:07,10:57,03:50,--,--,--,--,01295,00865,--,00405,00405
2024-08-15,G7503,苏州,SZH,台州,TEU,07:15,08:56,01:41,03410,01790,01110,--,--,--,--,--,01110
2024-08-15,G7503,苏州,SZH,台州,TEU,07:28,08:56,01:28,03260,01710,01070,--,--,--,--,--,01070
2024-08-15,D2281,南京南,NKH,深圳北,IOQ,08:02,10:06,02:04,--,01440,00900,--,--,--,--,--,00900
2024-08-15,G1509,南京南,NKH,三明,SVS,08:12,09:32,01:20,03370,01790,01110,--,--,--,--,--,--
2024-08-15,G7505,南京南,NKH,宁波,NGH,08:24,09:52,01:28,--,01790,01110,--,--,--,--,--,01110
2024-08-15,G7313,南京南,NKH,黄山北,NYH,08:36,10:29,01:53,03370,01790,01110,--,--,--,--,--,01110
2024-08-15,G7349,南京南,NKH,温州南,VRH,08:42,10:02,01:20,03600,01790,01110,--,--,--,--,--,01110
2024-08-15,G1377,常州北,ESH,昆明南,KOM,08:51,10:25,01:34,03370,01790,01110,--,--,--,--,--,--
2024-08-15,G7389,南京,NJH,衢州,QEH,08:59,10:33,01:34,--,01980,01230,--,--,--,--,--,01230
2024-08-15,G7389,南京,NJH,衢州,QEH,09:08,10:33,01:25,--,01910,01180,--,--,--,--,--,01180
2024-08-15,G7461,连云港,UIH,苍南,CEH,09:19,10:53,01:34,04100,02140,01330,--,--,--,--,--,01330
2024-08-15,G7507,南京南,NKH,宁波,NGH,09:39,11:04,01:25,03600,01790,01110,--,--,--,--,--,01110
