日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,D352,上海虹桥,AOH,成都东,ICW,06:49,18:09,11:20,--,08990,05625,--,--,--,--,--,05625
2024-08-15,D636,上海虹桥,AOH,成都东,ICW,07:11,18:30,11:19,--,08940,05585,--,--,--,--,--,05585
2024-08-15,D3072,上海虹桥,AOH,重庆北,CUW,07:39,19:15,11:36,--,08990,05625,--,--,--,--,--,05625
2024-08-15,G1974,上海虹桥,AOH,重庆西,CXW,07:44,19:57,12:13,32915,17105,10550,--,--,--,--,--,--
2024-08-15,D3056,上海,SHH,成都东,ICW,07:57,19:23,11:26,--,09050,05665,--,--,--,--,--,05665
2024-08-15,D3056,上海,SHH,成都东,ICW,08:06,19:23,11:17,--,08990,05625,--,--,--,--,--,05625
2024-08-15,D2212,嘉兴南,EPH,重庆北,CUW,08:22,20:11,11:49,--,08990,05625,--,--,--,--,--,05625
2024-08-15,D2212,嘉兴南,EPH,重庆北,CUW,08:34,20:11,11:37,--,08940,05585,--,--,--,--,--,05585
2024-08-15,D956,上海,SHH,重庆北,CUW,10:00,20:05,10:05,--,08990,05625,--,--,--,--,--,05625
2024-08-15,G1476,上海虹桥,AOH,成都东,ICW,10:20,20:31,10:11,31890,15975,09845,--,--,--,--,--,--
2024-08-15,T236,昆山,KSH,重庆西,CXW,11:40,14:08,26:28,--,--,--,--,05850,03700,--,02170,02170
