日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,D3074,重庆北,CUW,上海虹桥,AOH,06:21,18:25,12:04,--,09490,05935,--,--,--,--,--,05935
2024-08-15,D2214,重庆北,CUW,上海虹桥,AOH,07:11,19:20,12:09,--,09490,05935,--,--,--,--,--,05935
2024-08-15,D2270,重庆北,CUW,上海虹桥,AOH,07:27,21:19,13:52,--,10180,06385,--,--,--,--,--,06385
2024-08-15,D958,重庆北,CUW,上海,SHH,07:37,18:25,10:48,--,09490,05935,--,--,--,--,--,05935
2024-08-15,D2218,重庆北,CUW,上海虹桥,AOH,07:44,21:33,13:49,--,10500,06565,--,--,--,--,--,06565
2024-08-15,G1534,重庆北,CUW,上海虹桥,AOH,07:51,19:32,11:41,--,15225,09535,--,--,--,--,--,--
2024-08-15,G1335,重庆西,CXW,上海虹桥,AOH,08:17,20:55,12:38,28420,14935,09105,--,--,--,--,--,--
2024-08-15,K73,重庆北,CUW,上海南,SNH,08:32,11:38,27:06,--,--,--,--,05980,03810,--,02240,02240
2024-08-15,K73,重庆北,CUW,上海南,SNH,08:32,12:23,27:51,--,--,--,--,05980,03810,--,02240,02240
2024-08-15,D3058,成都东,ICW,上海,SHH,08:38,21:18,12:40,--,09490,05935,--,--,--,--,--,05935
2024-08-15,G3290,沙坪坝,CYW,上海虹桥,AOH,08:55,22:49,13:54,32895,16935,10600,--,--,--,--,--,--
2024-08-15,G1478,成都东,ICW,上海虹桥,AOH,09:27,20:01,10:34,33670,16885,10405,--,--,--,--,--,--
2024-08-15,D638,成都东,ICW,上海虹桥,AOH,09:29,22:15,12:46,--,09490,05935,--,--,--,--,--,05935
2024-08-15,G1976,重庆西,CXW,上海虹桥,AOH,09:29,22:32,13:03,33415,17495,10780,--,--,--,--,--,--
2024-08-15,D954,成都东,ICW,上海,SHH,09:53,20:21,10:28,--,09490,05935,--,--,--,--,--,05935
2024-08-15,D354,成都东,ICW,上海虹桥,AOH,10:13,22:21,12:08,--,09490,05935,--,--,--,--,--,05935
2024-08-15,D2208,成都东,ICW,上海虹桥,AOH,10:21,23:18,12:57,--,10090,06325,--,--,--,--,--,06325
2024-08-15,G1339,重庆西,CXW,上海虹桥,AOH,11:36,22:59,11:23,--,14245,08545,--,--,--,--,--,--
2024-08-15,Z258,重庆北,CUW,上海南,SNH,14:10,08:34,18:24,--,--,--,--,05720,03630,--,--,--
