日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,G52,重庆北,CUW,北京西,BXP,07:30,14:31,07:01,27400,13730,08580,--,--,--,--,--,--
2024-08-15,G352,重庆北,CUW,北京西,BXP,08:22,17:04,08:42,27790,13920,08700,--,--,--,--,--,--
2024-08-15,G388,重庆西,CXW,北京丰台,FTP,08:38,20:06,11:28,29090,14365,08980,--,--,--,--,--,--
2024-08-15,T10,重庆西,CXW,北京西,BXP,09:52,11:25,25:33,--,--,--,--,06130,03890,--,02290,02290
2024-08-15,G332,成都东,ICW,北京西,BXP,10:53,19:08,08:15,26320,13200,08250,--,--,--,--,--,--
2024-08-15,G372,贵阳北,KQW,北京西,BXP,11:54,21:39,09:45,26680,13390,08370,--,--,--,--,--,--
2024-08-15,G372,贵阳北,KQW,北京西,BXP,12:34,21:39,09:05,26320,13200,08250,--,--,--,--,--,--
2024-08-15,G54,重庆北,CUW,北京西,BXP,14:33,21:44,07:11,28780,14200,08880,--,--,--,--,--,--
2024-08-15,D50,成都东,ICW,北京西,BXP,15:50,10:05,18:15,--,--,02980,--,--,--,--,--,02980
2024-08-15,D4,重庆北,CUW,北京西,BXP,16:07,10:11,18:04,--,--,02910,--,--,--,--,--,02910
2024-08-15,D96,重庆北,CUW,北京西,BXP,16:28,10:37,18:09,--,--,02980,--,--,--,--,--,02980
2024-08-15,K508,贵阳,GIW,北京西,BXP,21:14,21:47,24:33,--,--,--,--,05850,03700,--,02170,02170
