日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,Z585,成都西,CMW,深圳东,BJQ,00:02,16:48,16:46,--,--,--,--,05355,02965,--,01735,01735
2024-08-15,G2929,重庆西,CXW,深圳北,IOQ,07:00,13:31,06:31,13700,07680,04800,--,--,--,--,--,--
2024-08-15,G3721,重庆西,CXW,广州南,IZQ,08:22,14:54,06:32,--,07680,04800,--,--,--,--,--,--
2024-08-15,G3711,成都东,ICW,广州南,IZQ,08:39,14:26,05:47,14470,08030,05020,--,--,--,--,--,--
2024-08-15,G319,重庆西,CXW,香港西九龙,XJA,08:49,14:55,06:06,16890,08030,05020,--,--,--,--,--,--
2024-08-15,D1831,永川东,WMW,广州南,IZQ,09:00,17:12,08:12,--,06750,04230,--,--,--,--,--,04230
2024-08-15,D1835,重庆西,CXW,广州南,IZQ,09:35,17:18,07:43,--,06750,04230,--,--,--,--,--,04230
2024-08-15,K1095,重庆北,CUW,广州白云,GBA,09:40,06:03,20:23,--,--,--,--,05615,03105,--,01805,01805
2024-08-15,G3723,重庆西,CXW,广州南,IZQ,10:04,16:07,06:03,--,07680,04800,--,--,--,--,--,--
2024-08-15,D1819,成都东,ICW,广州南,IZQ,10:14,17:25,07:11,--,07680,04810,--,--,--,--,--,04810
2024-08-15,D1837,重庆西,CXW,广州南,IZQ,10:24,18:03,07:39,--,07270,04550,--,--,--,--,--,04550
2024-08-15,K355,重庆北,CUW,深圳东,BJQ,11:00,08:13,21:13,--,--,--,--,05870,03370,--,01980,01980
2024-08-15,D1825,成都东,ICW,湛江西,ZWQ,12:19,19:52,07:33,--,07680,04810,--,--,--,--,--,04810
2024-08-15,K687,重庆北,CUW,惠州,HCQ,12:25,07:03,18:38,--,--,--,--,05465,03045,--,01775,01775
2024-08-15,G3725,成都东,ICW,广州南,IZQ,13:07,20:03,06:56,--,07680,04800,--,--,--,--,--,--
2024-08-15,G2239,西安北,EAY,广州南,IZQ,13:26,20:31,07:05,13700,07270,04550,--,--,--,--,--,--
2024-08-15,K201,重庆北,CUW,广州白云,GBA,13:52,11:44,21:52,--,--,--,--,06020,03370,--,01980,01980
2024-08-15,G3727,重庆西,CXW,广州南,IZQ,14:12,20:37,06:25,14470,08030,05020,--,--,--,--,--,--
2024-08-15,G3749,重庆西,CXW,珠海,ZHQ,14:45,21:04,06:19,14470,08030,05020,--,--,--,--,--,--
2024-08-15,D1839,重庆西,CXW,广州南,IZQ,15:04,23:24,08:20,--,07270,04550,--,--,--,--,--,04550
2024-08-15,G2965,重庆西,CXW,汕尾,OGQ,15:32,21:24,05:52,14470,08030,05020,--,--,--,--,--,--
2024-08-15,G3729,重庆西,CXW,广州南,IZQ,16:14,22:13,05:59,14470,08030,05020,--,--,--,--,--,--
2024-08-15,G2941,成都东,ICW,深圳北,IOQ,16:33,22:18,05:45,14470,08030,05020,--,--,--,--,--,--
2024-08-15,K485,重庆北,CUW,深圳,SZQ,18:30,16:12,21:42,--,--,--,--,05870,03370,--,01980,01980
2024-08-15,K1171,重庆北,CUW,惠州,HCQ,19:50,13:56,18:06,--,--,--,--,05355,02965,--,01735,01735
2024-08-15,K813,重庆北,CUW,广州,GZQ,20:18,17:57,21:39,--,--,--,--,06020,03370,--,01980,01980
2024-08-15,K775,重庆北,CUW,东莞东,DMQ,20:33,13:45,17:12,--,--,--,--,05355,02965,--,01735,01735
2024-08-15,K191,重庆西,CXW,广州白云,GBA,22:42,17:53,19:11,--,--,--,--,05615,03105,--,01805,01805
