日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,K1257,温州,RZH,成都西,CMW,05:15,08:58,03:43,--,--,--,--,01465,00965,--,00505,00505
2024-08-15,D49,北京西,BXP,成都东,ICW,05:27,07:55,02:28,--,--,00560,--,--,--,--,--,00560
2024-08-15,G8588,重庆西,CXW,成都东,ICW,06:13,07:37,01:24,--,02070,01290,--,--,--,--,--,--
2024-08-15,C77,重庆北,CUW,攀枝花南,PNE,06:28,09:15,02:47,--,01400,00870,--,--,--,--,--,00870
2024-08-15,G8650,重庆西,CXW,双流机场,IPW,06:32,07:53,01:21,04990,02450,01530,--,--,--,--,--,--
2024-08-15,G8644,重庆西,CXW,成都东,ICW,06:41,08:03,01:22,04990,02450,01530,--,--,--,--,--,--
2024-08-15,K503,长沙,CSQ,成都西,CMW,06:43,10:52,04:09,--,--,--,--,01465,00965,--,00505,00505
2024-08-15,G8586,重庆西,CXW,成都东,ICW,06:57,08:35,01:38,--,02270,01420,--,--,--,--,--,--
2024-08-15,G8512,重庆西,CXW,成都东,ICW,07:04,08:50,01:46,04690,02270,01420,--,--,--,--,--,--
2024-08-15,G8576,重庆西,CXW,成都东,ICW,07:21,09:19,01:58,04990,02450,01530,--,--,--,--,--,--
2024-08-15,G8504,重庆北,CUW,成都东,ICW,07:29,09:36,02:07,--,02590,01610,--,--,--,--,--,--
2024-08-15,G8502,重庆西,CXW,成都东,ICW,07:34,09:14,01:40,--,02450,01530,--,--,--,--,--,--
2024-08-15,G8606,沙坪坝,CYW,成都东,ICW,07:55,08:57,01:02,04950,02420,01510,--,--,--,--,--,--
2024-08-15,G1836,重庆西,CXW,青岛,QDK,08:00,09:26,01:26,04380,02340,01460,--,--,--,--,--,--
2024-08-15,G8566,重庆西,CXW,成都东,ICW,08:13,09:47,01:34,--,02450,01530,--,--,--,--,--,--
2024-08-15,G8702,万州北,WZE,绵阳,MYW,08:21,10:07,01:46,--,02470,01540,--,--,--,--,--,--
2024-08-15,G8660,重庆西,CXW,德阳,DYW,08:21,09:52,01:31,04990,02450,01530,--,--,--,--,--,--
2024-08-15,D5101,重庆北,CUW,成都东,ICW,08:27,10:46,02:19,--,01550,00965,--,--,--,--,--,00965
2024-08-15,G388,重庆西,CXW,北京丰台,FTP,08:38,10:12,01:34,04990,02450,01530,--,--,--,--,--,--
2024-08-15,G3290,沙坪坝,CYW,上海虹桥,AOH,08:55,10:32,01:37,04650,02420,01510,--,--,--,--,--,--
2024-08-15,G8574,重庆西,CXW,成都东,ICW,08:57,11:07,02:10,--,02450,01530,--,--,--,--,--,--
2024-08-15,K143,南宁,NNZ,成都西,CMW,09:07,12:32,03:25,--,--,--,--,01465,00965,--,--,--
2024-08-15,G8608,重庆西,CXW,成都东,ICW,09:13,10:18,01:05,04990,02450,01530,--,--,--,--,--,--
2024-08-15,K873,湛江,ZJZ,成都东,ICW,09:20,12:58,03:38,--,--,--,--,01405,00925,--,--,--
2024-08-15,G1976,重庆西,CXW,上海虹桥,AOH,09:29,10:53,01:24,04380,02340,01460,--,--,--,--,--,--
