日期,车次,起点站,起点站代号,终点站,终点站代号,开始时,结束时,持续时间,商务座,一等座,二等座,高级软卧,软卧,硬卧,软座,硬座,无座
2024-08-15,D658,重庆北,CUW,宁波,NGH,07:00,18:38,11:38,--,09220,05760,--,--,--,--,--,05760
2024-08-15,D2274,重庆北,CUW,黄山北,NYH,08:04,19:28,11:24,--,09250,05785,--,--,--,--,--,05785
2024-08-15,D2248,重庆北,CUW,杭州东,HGH,08:16,20:00,11:44,--,--,05165,16800,--,--,--,--,05165
2024-08-15,G1335,重庆西,CXW,上海虹桥,AOH,08:17,19:53,11:36,26230,13765,08375,--,--,--,--,--,--
2024-08-15,K73,重庆北,CUW,上海南,SNH,08:32,09:33,25:01,--,--,--,--,05560,03530,--,02060,02060
2024-08-15,D2224,成都东,ICW,杭州东,HGH,09:41,21:35,11:54,--,09170,05735,--,--,--,--,--,05735
2024-08-15,D2264,成都东,ICW,杭州东,HGH,11:17,22:42,11:25,--,--,05255,18200,--,--,--,--,05255
2024-08-15,G1339,重庆西,CXW,上海虹桥,AOH,11:36,22:06,10:30,--,13305,07965,--,--,--,--,--,--
2024-08-15,K1154,重庆北,CUW,杭州,HZH,12:14,12:38,24:24,--,--,--,--,05560,03530,--,02060,02060
2024-08-15,Z258,重庆北,CUW,上海南,SNH,14:10,05:49,15:39,--,--,--,--,05300,03370,--,--,--
